Probeset	slope	pval
11757933_s_at	1.40500348626326	4.92542420475082e-16
11753514_s_at	1.42433415392886	1.12121184114343e-14
11759525_at	2.09593417675996	1.6134833228434e-13
11749291_a_at	0.749061475540231	1.70829807917398e-13
11753775_x_at	-0.604123693638058	1.70911836160075e-13
11754008_x_at	1.24539446641755	1.84372344644369e-13
11725905_a_at	-2.29945256071208	2.96054038525261e-13
11741354_a_at	-0.849224947760708	3.30201738881863e-13
11757404_x_at	1.17159373341659	3.53269483303076e-13
11721630_at	1.60628879609062	4.72218172945315e-13
11757585_x_at	0.629590024749486	6.79428517712767e-13
11758525_s_at	1.18441690801483	1.02862157893197e-12
11717568_s_at	-1.4535320878888	1.18403932858092e-12
11734013_a_at	1.13163469310913	1.21924232983862e-12
11749852_s_at	0.988342856361941	1.3835889027574e-12
11725957_x_at	-0.570222817076534	1.44885330536327e-12
11717047_s_at	0.55358594767429	2.31714716807513e-12
11720704_s_at	-0.957055469219031	2.38341600793022e-12
11733024_x_at	1.08312429143342	2.40530861745159e-12
11756406_x_at	2.22450745337511	2.43907500421957e-12
11757868_a_at	1.82685506450227	2.51648513926017e-12
11755303_x_at	1.13711062560255	2.53410836728762e-12
11743724_a_at	-0.838994663303932	2.69322775388882e-12
11734658_s_at	1.00426542050479	3.07201746753398e-12
11725956_a_at	-0.583977282299775	3.4135464407938e-12
11715817_at	1.70601089117698	3.43434526817186e-12
11717651_a_at	1.22281536607578	3.61891944904422e-12
11724898_a_at	-1.26129657253431	3.71290820071261e-12
11717721_s_at	1.90935447798077	3.97858623239631e-12
11715766_a_at	1.51191551400242	4.13906460419651e-12
11755344_x_at	1.13248114203522	4.16254825393387e-12
11752515_a_at	-1.25146359478929	4.2478808382106e-12
11742692_a_at	-0.56314229661407	4.72121816407706e-12
11726272_a_at	0.726346306709203	4.9793081224108e-12
11739000_a_at	0.585713772724401	5.33818231199497e-12
11744228_x_at	0.98844572225344	5.61444159579477e-12
11759142_at	2.71186499452023	5.66037556098077e-12
11747105_a_at	-1.16710509739368	6.0355911038793e-12
11743730_at	-0.824559473375621	7.57870352773289e-12
11717301_at	0.486907545553609	7.60980595143491e-12
11758043_s_at	1.0318179322369	7.78064529102582e-12
11741773_x_at	0.875114695226229	8.02010582531123e-12
11727707_a_at	1.06121401438337	8.13482785333716e-12
11745980_a_at	-1.20998422405683	8.43193560867546e-12
11726022_a_at	-0.868174361816003	8.63144641079515e-12
11716210_at	1.38002467439065	9.74494409619068e-12
11717378_at	-0.824722110780698	1.02696025801671e-11
11715988_x_at	-0.620162259023438	1.05646722582268e-11
11717567_a_at	-0.945539257955647	1.10536927828591e-11
11734912_s_at	0.956885478163145	1.13718724233307e-11
11718396_x_at	1.6862631944248	1.17795182374754e-11
11746023_a_at	-1.09237978112459	1.29659131273821e-11
11752765_s_at	1.2636242903666	1.48666828966873e-11
11715765_a_at	1.87126452483918	1.7260240498553e-11
11734489_a_at	-0.962977666047952	1.77274549484922e-11
11763171_at	0.823094277848636	1.96788740259371e-11
11715470_x_at	-0.612715430190034	1.97314765857518e-11
11762282_x_at	1.1471642341046	2.06135588564953e-11
11756431_s_at	1.26965581341648	2.120841130787e-11
11723446_s_at	0.891212498700689	2.13175642572917e-11
11726925_x_at	0.828443020528325	2.13322832163065e-11
11715614_at	1.33522456873504	2.17681683817418e-11
11717097_a_at	-0.812867212834756	2.33625001958705e-11
11715649_s_at	-1.20484577901291	2.47097058947411e-11
11752993_a_at	1.60957061309874	2.77160934933603e-11
11718766_at	-1.20242894450888	2.86575554345145e-11
11718395_s_at	1.67474972630954	2.90244723947314e-11
11749659_s_at	-0.894786971554526	2.92333839614729e-11
11718891_s_at	1.16955251080001	2.95448252772523e-11
11740361_s_at	1.23833465872408	2.96552439456377e-11
11748072_a_at	-1.12903700191049	3.22353233680616e-11
11716083_a_at	-0.680430848126441	3.44232616674899e-11
11720916_s_at	-0.400789445680617	3.45238979500164e-11
11718397_s_at	1.64052115592987	3.47384642579846e-11
11724346_a_at	1.73464741953158	3.47912659851699e-11
11719563_a_at	1.30009376842527	3.6407385444744e-11
11716781_s_at	0.47658394498487	3.86810297184868e-11
11741505_s_at	1.64902290912482	3.96394319955831e-11
11743010_at	1.14127406474045	4.34692055081602e-11
11724481_a_at	2.49950463482526	4.52037811590373e-11
11715447_at	-0.590577947735495	4.68757069922851e-11
11733023_s_at	0.998448833087352	4.8337653454688e-11
11717516_s_at	0.913979097192658	4.94442783985833e-11
11755206_x_at	-0.748578464003112	5.54299586818362e-11
11729482_a_at	-0.884805812050996	5.72238798370563e-11
11728255_s_at	0.904013438922534	5.72788198011933e-11
11757420_s_at	1.30114268459874	5.7452287231155e-11
11715506_a_at	0.642011040279587	5.75507461775659e-11
11752681_s_at	0.807706994837467	5.76923229991628e-11
11716460_x_at	-1.01666018390855	6.11728454633663e-11
11723633_s_at	0.740637380458095	6.36787249014839e-11
11750410_a_at	-2.83326553539684	6.59563767222848e-11
11754161_s_at	0.817484948529792	6.89271423927221e-11
11717096_a_at	-0.981728304035161	7.01829007312134e-11
11747721_s_at	-0.657582970008704	7.11302046904069e-11
11736478_a_at	-1.43342610497992	7.23572968826348e-11
11725983_at	1.10738926515891	7.28099024787314e-11
11721071_s_at	-1.26641845151289	7.50750970853597e-11
11729169_a_at	1.08375242358656	7.56053339954809e-11
11756351_x_at	-0.420890775887279	7.89710182229765e-11
11734835_s_at	-0.852773742589868	8.05994642932344e-11
11754315_x_at	1.47934068846661	8.37330715026321e-11
11737479_a_at	-0.854520829212136	8.46271259025478e-11
11716666_a_at	1.22267180946533	8.52899245577205e-11
11720948_a_at	-1.01498935077747	8.65399027221641e-11
11725093_a_at	0.719507474261439	8.69630445797346e-11
11735148_a_at	1.2141626058973	8.71475765535769e-11
11741506_x_at	2.5022378580157	8.96853545575082e-11
11748423_a_at	1.06529834150102	9.12043906781914e-11
11730323_at	1.46509338198403	9.14860563441105e-11
11715818_at	1.6478730158765	9.54601902094958e-11
11721430_a_at	-1.04876641394264	9.72178273054219e-11
11757924_s_at	1.17840142369847	9.80538949437210e-11
11729172_s_at	-0.671795459407318	9.84069452833301e-11
11748219_a_at	-2.61474480073589	1.01407913018046e-10
11719372_s_at	1.39043628853739	1.02327236769344e-10
11740938_a_at	1.01807332035187	1.02456330903401e-10
11763718_x_at	2.39629162818464	1.05018163080861e-10
11745127_x_at	0.922480664307657	1.0732008709171e-10
11715493_a_at	2.70832784726407	1.07917463658593e-10
11729170_x_at	0.998052863903661	1.10184078044168e-10
11719560_at	1.19030956403518	1.10655769784096e-10
11721774_a_at	-1.12411001425972	1.11691362063251e-10
11757565_s_at	-1.41233684797849	1.1916861133539e-10
11726624_a_at	0.927307757680454	1.20434846757704e-10
