PROBEID	LowvsGlass_FC	LowvsGlass_pval
11751403_a_at	1.176856184	0.00423786
11745468_a_at	-1.142955431	0.004242707
11762614_at	1.153701331	0.004246336
11751257_a_at	1.160486067	0.004248801
11747787_a_at	-1.169583747	0.004249248
11729699_a_at	-1.140024116	0.004250168
11721777_at	-1.105292702	0.004255819
11724900_a_at	1.121707475	0.004256211
11754192_s_at	-1.105880258	0.004260067
11733944_at	-1.298831204	0.004261489
11720890_a_at	1.202764956	0.004262842
11735294_a_at	-1.150229314	0.00426568
11743594_s_at	-1.123045024	0.004267135
11762962_x_at	1.151013094	0.004269558
11754467_s_at	-1.124204512	0.004269898
11718730_at	-1.119521678	0.004272175
11716104_a_at	1.113484576	0.004275615
11725784_a_at	-1.114593993	0.00427647
11716126_x_at	-1.127274006	0.004277667
11746931_a_at	1.138965871	0.004279108
11736735_a_at	-1.163946063	0.004279276
11736355_at	1.183214938	0.004281091
11745895_a_at	1.210815874	0.004282496
11758269_s_at	-1.158563532	0.004285921
11751504_a_at	1.135054732	0.004286792
11759507_at	-1.344960629	0.004290853
11721676_a_at	-1.104768232	0.00429266
11733610_a_at	1.153809689	0.004293735
11753063_a_at	1.173252724	0.004295313
11739132_a_at	1.124905024	0.004296422
11719471_at	-1.16308309	0.004298815
11747152_a_at	-1.109933888	0.004299601
11721463_a_at	1.130449326	0.004302054
11758677_s_at	-1.093733777	0.004303942
11716956_a_at	-1.116967985	0.004304053
11735494_a_at	-1.208502125	0.004307242
11719211_a_at	-1.215347015	0.004310308
11727336_at	-1.113716166	0.004314631
11743544_a_at	-1.103819155	0.004314686
11764257_a_at	1.137137534	0.004315655
11723476_at	-1.306934871	0.004318659
11763730_x_at	1.109363316	0.004321998
11716080_a_at	-1.181509462	0.004322032
11743756_at	1.093588519	0.004325493
11747622_a_at	1.16216069	0.004325628
11727363_a_at	1.168632705	0.004326308
11737054_a_at	1.152067626	0.004327557
11749100_a_at	1.130870852	0.004328758
11723776_s_at	-1.131282285	0.004331219
11723024_a_at	1.11594151	0.004331651
11754713_a_at	-1.161782545	0.004332196
11761641_at	1.160977878	0.004335403
11729465_x_at	-1.204951653	0.004335734
11725220_a_at	1.128179207	0.004336103
11736426_s_at	1.140199881	0.004337848
11754457_a_at	-1.117274133	0.004339821
11734919_s_at	-1.11435829	0.004340178
11745991_a_at	1.105817645	0.004340334
11739469_at	1.124568921	0.004340848
11728899_a_at	1.189651904	0.004341728
11755605_s_at	1.457227498	0.004341766
11754565_a_at	1.117719204	0.004347801
11733515_a_at	1.136360633	0.004348198
11735378_a_at	-1.152648747	0.004355572
11749041_a_at	1.121813657	0.004356491
11758052_s_at	1.213816058	0.004357996
11734408_a_at	-1.173778451	0.004360996
11732327_a_at	1.094791778	0.004361696
11722578_a_at	1.171874033	0.00436405
11753881_x_at	1.142524112	0.004365539
11716659_a_at	-1.137463292	0.004367298
11744565_s_at	-1.154760296	0.004367694
11716004_at	1.135606349	0.004370241
11745442_x_at	1.129831091	0.004370976
11723340_at	-1.201423587	0.004373963
11730629_s_at	-1.16165442	0.004376669
11756243_a_at	1.184767693	0.004384376
11745534_a_at	1.122237356	0.004389391
11729240_at	-1.160030148	0.004392091
11725670_s_at	-1.107779578	0.004392199
11731836_a_at	-1.133088781	0.004394187
11743457_a_at	1.111372146	0.004397552
11732110_a_at	1.172181323	0.00439861
11754720_a_at	-1.157120253	0.004404899
11743984_a_at	1.138400553	0.004406475
11756827_a_at	-1.155855283	0.004410876
11717842_a_at	1.203687209	0.004410931
11729254_a_at	1.184579804	0.004410953
11755053_s_at	1.10455356	0.004417146
11741510_a_at	-1.117886797	0.004419602
11742806_at	1.10436566	0.004423975
11719709_x_at	1.110604028	0.004424398
11722580_at	1.112264521	0.004433315
11716074_x_at	-1.106008054	0.004433858
11762496_x_at	1.115056035	0.004434462
11716628_at	-1.119959004	0.00444439
11760013_a_at	1.189227186	0.004445113
11722996_a_at	1.093384646	0.00444521
11755428_a_at	1.125382892	0.004452605
11736775_at	-1.159088954	0.004453484
11752507_x_at	-1.109551903	0.004453568
11717390_a_at	1.116724802	0.004455247
11718489_s_at	1.125752965	0.004460816
11716723_at	-1.193838518	0.004463335
11717234_a_at	1.239501375	0.004468082
11740379_s_at	-1.10952028	0.004472001
11756691_a_at	1.138597888	0.004472556
11759636_x_at	-1.155010335	0.004474415
11718050_a_at	1.148614163	0.00447691
11720929_a_at	1.10934874	0.004487584
11726157_at	1.160211897	0.004487845
11763653_at	1.22017486	0.004491582
11749070_x_at	-1.114180914	0.004494152
11727505_at	1.104958129	0.004495192
11716944_a_at	1.178278171	0.004495612
11750401_a_at	1.169058707	0.004495725
11716824_s_at	-1.227954942	0.004496412
11753053_x_at	1.131462147	0.00449713
11717313_a_at	1.143591006	0.004504928
11755956_x_at	1.128876612	0.004506344
11722414_at	1.233097712	0.004507603
11745855_s_at	1.14432407	0.004509027
11752224_a_at	-1.188499794	0.004511547
11743007_at	1.126280384	0.004515672
11733364_a_at	1.235406416	0.004518515
11723896_a_at	1.11161218	0.004520598
11721121_a_at	1.102409138	0.004524833
11746075_a_at	-1.11354049	0.004525852
11746126_s_at	-1.273711705	0.004526995
11732415_s_at	-1.129682159	0.004533193
11725835_at	1.189038643	0.004534531
11728068_a_at	1.218671489	0.004535954
11763172_at	1.252775785	0.004536295
11758068_s_at	-1.327051097	0.004536845
11723943_x_at	1.119443207	0.004538846
11746560_a_at	1.238604902	0.004539727
11743069_a_at	-1.137411696	0.004541463
11741392_a_at	1.157714848	0.004541642
11729662_x_at	-1.114097633	0.004549901
11715132_x_at	-1.122667848	0.004551152
11716930_x_at	-1.125574452	0.0045543
11752418_a_at	1.145547198	0.004555049
11760487_x_at	-1.142146959	0.004555783
11744025_a_at	1.114009446	0.004557233
11758895_at	1.139640887	0.004558785
11748265_a_at	1.217594483	0.004562395
11755939_a_at	-1.136488398	0.004564056
11753671_x_at	1.102454886	0.004564152
11757546_x_at	-1.148237402	0.004564778
11743472_a_at	-1.158511639	0.004570843
11755175_a_at	1.141801086	0.004571477
11724138_at	1.125145296	0.004571838
11736453_at	-1.110529661	0.004572914
11722831_a_at	-1.192114169	0.004577398
11763699_a_at	-1.158023747	0.004577891
11751749_a_at	-1.275826215	0.004581626
11739175_a_at	-1.092187165	0.004584666
11734455_x_at	-1.110674939	0.004585235
11722561_a_at	1.131447107	0.004586014
11731627_at	-1.11135815	0.004587171
11755657_s_at	-1.235520172	0.004596578
11726849_at	1.144907	0.004606374
11743261_a_at	-1.138485053	0.004607196
11720403_at	-1.149218181	0.004612358
11751656_a_at	1.203848036	0.004613806
11751067_x_at	-1.144178281	0.004615849
11755515_s_at	1.172257826	0.004617629
11724074_a_at	-1.11682916	0.004628415
11754262_s_at	-1.263688389	0.004628722
11732636_at	1.232519255	0.004630667
11718285_s_at	-1.095781519	0.004630997
11757365_s_at	-1.095781519	0.004630997
11751445_x_at	1.129420899	0.004637358
11751440_a_at	1.116924981	0.004638188
11736383_a_at	-1.127059194	0.004638335
11734548_a_at	-1.255789706	0.004639543
11760563_at	1.128230018	0.004639959
11727399_at	1.160165908	0.004640603
11729195_x_at	-1.109873231	0.004642895
11751091_a_at	-1.189665237	0.00464639
11717429_x_at	-1.092093327	0.004648394
11737606_s_at	-1.14268798	0.004648582
11762288_at	1.168145413	0.004648588
11744054_a_at	1.306550021	0.004649841
11754725_x_at	-1.180041823	0.004653872
11758904_at	-1.156852598	0.004668473
11740203_a_at	-1.132189882	0.004669338
11724473_a_at	-1.123183719	0.004671175
11719526_a_at	1.140613136	0.00467256
11740872_a_at	-1.133324419	0.004673252
11754057_x_at	-1.192351494	0.00467598
11748742_a_at	-1.136944927	0.00468187
11728629_a_at	-1.146062833	0.00468349
11743453_s_at	-1.171684277	0.00468532
11726683_a_at	-1.122290006	0.004685884
11731806_a_at	1.170118263	0.004690615
11763196_at	1.224426114	0.004691944
11763197_x_at	1.224426114	0.004691944
200072_PM_s_at	-1.096783843	0.004693378
11751154_x_at	-1.172561046	0.004693978
11749009_a_at	-1.145785749	0.004694756
11724018_a_at	-1.17400883	0.004697765
11755217_a_at	1.262773593	0.004700124
11748258_a_at	-1.170605611	0.004700819
11716850_s_at	1.172879082	0.004702104
11751366_a_at	1.183957728	0.004716572
11722709_a_at	1.204622767	0.004722813
11727645_a_at	-1.271744758	0.004727244
11740444_s_at	-1.17725989	0.004727449
11724319_x_at	1.179365355	0.004729817
11719102_at	-1.266826961	0.004731653
11757259_x_at	-1.299143031	0.004735711
11720430_a_at	1.144028271	0.004736027
11727546_at	-1.190045398	0.004736808
11756284_x_at	-1.172465568	0.004740911
11718574_at	-1.141966344	0.004741025
11755677_a_at	-1.174091377	0.00474371
11716162_at	1.140333224	0.004747402
11728841_a_at	-1.135953141	0.004752586
11743273_s_at	-1.176527908	0.004759014
11725300_a_at	1.118073957	0.004765376
11741467_at	1.139067871	0.004766948
11734189_a_at	-1.139777646	0.004767492
11733835_a_at	-1.089051601	0.004767913
11752414_a_at	1.145968168	0.004770102
11736429_at	1.120163426	0.004771145
11729661_a_at	-1.096421938	0.004774275
11716063_at	1.147174697	0.004776283
11728299_x_at	1.113951599	0.004777419
11723072_x_at	-1.233800092	0.004779524
11736485_s_at	-1.139701134	0.004782784
11733172_at	-1.094422845	0.004782994
11721970_a_at	1.276841109	0.004783016
11721095_x_at	1.097886707	0.004783394
11750047_a_at	-1.282941351	0.004784256
11719257_s_at	-1.125357239	0.004785494
11746067_a_at	-1.109880312	0.004788434
11718726_x_at	-1.212325182	0.00479167
11748165_a_at	1.170770018	0.004792219
11743790_a_at	-1.199343632	0.004794898
11749616_s_at	-1.134827868	0.00479859
11733931_a_at	1.116256135	0.004799954
11758006_s_at	-1.133047032	0.004800052
11743378_a_at	1.133791227	0.004800188
11755448_s_at	-1.224148674	0.004800454
11740702_a_at	-1.238751119	0.004811223
11744672_a_at	1.164443677	0.004812756
11727470_x_at	-1.158138923	0.004815095
11746377_a_at	1.130334109	0.004823505
11726497_at	1.168874064	0.004826534
11739198_a_at	1.1414622	0.004828118
11731480_a_at	-1.190473219	0.004828736
11743760_s_at	1.116783226	0.004832728
11758934_x_at	1.172937505	0.004835426
11727858_x_at	1.111622767	0.004837647
11728393_a_at	-1.187401665	0.004837942
11734042_at	1.135494327	0.004838583
11747554_a_at	-1.127726627	0.004845674
11753956_x_at	1.129182852	0.004846171
11716152_s_at	1.110398362	0.004848138
11744501_a_at	-1.137343301	0.004849888
11754077_s_at	-1.239108677	0.004851923
11749666_a_at	-1.136235226	0.004855557
11745568_a_at	1.225842585	0.004860402
11757899_x_at	1.108089134	0.004863097
11747206_a_at	1.18377501	0.004863522
11749450_a_at	-1.10242722	0.004865624
11739064_s_at	-1.117164827	0.004868261
11742258_s_at	1.145149646	0.004870868
11752004_s_at	-1.270240813	0.004871981
11755329_x_at	1.159644538	0.004874702
11758375_s_at	-1.118664682	0.004877536
11728358_a_at	1.171873173	0.004883236
11758729_x_at	1.095246963	0.004883934
11719795_a_at	1.165520796	0.004884299
11726396_x_at	-1.182203565	0.004887966
11721036_at	-1.118137613	0.00489521
11750227_a_at	1.111984289	0.004895365
11748446_a_at	1.13098618	0.004907903
11719833_at	-1.221360809	0.004913453
11717636_s_at	1.11058988	0.00491358
11758050_s_at	1.11204534	0.004915561
11725955_at	1.165270703	0.004916009
11729179_x_at	-1.226938278	0.004917599
11759915_at	1.176388643	0.004917602
11722462_a_at	-1.145028269	0.004925596
11760703_x_at	1.192746422	0.00492758
11717844_x_at	1.117039991	0.004929733
11740988_a_at	1.126680487	0.004942407
11736755_x_at	-1.151105649	0.00494932
11750700_a_at	1.140789004	0.004949466
11724746_at	-1.090742233	0.004949562
11750446_x_at	-1.106263141	0.004951688
11740210_at	-1.157224098	0.004952547
11736384_x_at	-1.117303286	0.004957473
11727423_a_at	1.12783432	0.004961652
11724926_at	-1.155984962	0.004961689
11720329_at	1.129358904	0.004961869
11727917_at	1.118466681	0.0049621
11737532_a_at	-1.109043863	0.00496568
11747142_a_at	1.152616494	0.004970916
11756328_s_at	1.412422062	0.004971405
11761198_at	-1.192295803	0.004972814
11732220_a_at	1.121477372	0.004973469
11746337_a_at	1.159862245	0.00498008
11757700_a_at	1.172309597	0.004982031
11729165_a_at	1.162026981	0.004982213
11751285_a_at	1.144371985	0.004986801
11753806_x_at	1.187485381	0.004987035
11715375_x_at	-1.149176936	0.004988705
11746920_a_at	1.163650654	0.004991562
11727677_at	-1.134024279	0.004991766
11738552_x_at	1.12616565	0.004992399
11743065_at	1.133277473	0.004998445
11736118_a_at	-1.285848379	0.005004133
11724275_s_at	1.143996478	0.005007237
11749390_x_at	1.096921596	0.005007414
11764000_at	1.143993011	0.005008115
11720203_a_at	-1.107320524	0.005013898
11740055_x_at	-1.133512717	0.005023645
11750449_a_at	1.215827888	0.005028281
11763679_at	1.171671015	0.005030066
11729648_at	-1.109921309	0.005030357
11722555_s_at	-1.089350915	0.005031485
11759755_x_at	-1.134711935	0.005033663
11751987_a_at	1.190477238	0.005034908
11736078_a_at	1.141171806	0.005036382
11720577_a_at	1.111876689	0.005041924
11758083_s_at	1.0949808	0.005045005
11745201_a_at	1.094962251	0.005045237
11728713_at	1.097243373	0.005049168
11727764_at	-1.177286487	0.005051713
11760595_a_at	-1.221348531	0.005052385
11752936_a_at	1.166587406	0.005053389
11715260_at	-1.132474498	0.005054856
11747880_a_at	1.149572411	0.005056728
11746066_a_at	1.102478091	0.00505888
11727004_s_at	1.087087169	0.005062725
11752077_a_at	1.103791057	0.005063044
11729697_at	-1.16936548	0.005063815
11754724_a_at	-1.161505682	0.005065313
11761054_a_at	1.186505493	0.005067642
11761791_x_at	-1.124076452	0.005068625
11758354_s_at	-1.168070768	0.00507013
11719342_a_at	-1.211569689	0.005071037
11764032_at	-1.163624121	0.005071928
11754362_a_at	1.19932637	0.005072502
11725841_at	-1.128188558	0.005073171
11749383_a_at	1.174406417	0.005073773
11741002_a_at	1.174741807	0.005078927
11740895_a_at	-1.191801645	0.005081757
11717138_a_at	-1.159116719	0.005084303
11731291_a_at	-1.108964005	0.005088516
11719470_a_at	-1.112193055	0.005094029
11741030_a_at	1.270412903	0.005094929
11745411_a_at	1.170616587	0.005097087
11717811_at	-1.162476922	0.005101237
11719031_at	1.121806976	0.005102384
11744327_x_at	1.082691975	0.005104212
11727160_at	-1.135752853	0.005105335
11722242_at	-1.171620463	0.005108756
11754515_a_at	-1.105906641	0.005111235
11744383_x_at	1.128832059	0.005114934
11754420_a_at	1.105355958	0.005120609
11739639_at	1.166613093	0.005125937
11718408_x_at	-1.090728084	0.005128584
11728558_a_at	-1.128280721	0.005131588
11736500_at	1.174724684	0.005132392
11723387_a_at	1.186758354	0.005133256
11759768_s_at	1.203260233	0.005140026
11734843_x_at	-1.133877558	0.005141829
11756204_s_at	-1.163244247	0.00514201
AFFX-PheX-3_at	-1.148930357	0.005142728
11754374_a_at	-1.126740447	0.005143729
11731787_x_at	-1.181667388	0.005144439
11739570_at	-1.254921138	0.00514768
11757566_x_at	1.113511611	0.005155971
11762943_x_at	1.152033063	0.005156281
11725008_a_at	-1.20675791	0.005157197
11732603_a_at	-1.215892544	0.005163672
11721657_at	-1.157163179	0.005164117
11743718_a_at	1.162118594	0.005166713
11750666_a_at	1.116027411	0.005166906
11761269_x_at	1.106906826	0.00516954
11726351_at	-1.183528763	0.00516971
11760508_at	1.20893369	0.005172622
11738057_x_at	-1.113401385	0.005173341
11760536_a_at	1.207316539	0.005174286
11716057_a_at	1.165989365	0.005175129
11744761_x_at	1.162521806	0.005175369
11763972_at	-1.209299913	0.005177706
11739896_at	1.172751973	0.005177974
11758009_s_at	-1.146590908	0.005179328
11752848_x_at	-1.157810313	0.005182339
11741402_a_at	-1.121030112	0.0051829
11726385_a_at	-1.090690154	0.00518674
11727438_at	-1.134966549	0.005187236
11748572_a_at	-1.184265323	0.005190392
11755506_a_at	1.16846153	0.005197984
11759555_s_at	-1.111317687	0.005198106
11740553_a_at	-1.134641303	0.005200375
11725668_at	-1.17419617	0.005202086
11731509_x_at	1.130714962	0.005202384
11731821_at	1.128195683	0.005203895
11738810_a_at	1.110103739	0.005204326
11724014_a_at	-1.179423903	0.005204811
11754472_a_at	1.143058517	0.005204859
11722809_at	-1.128320001	0.005207234
11753712_x_at	-1.200576371	0.005212375
11719149_a_at	-1.106844711	0.0052191
11716725_a_at	-1.132323435	0.00522083
11757731_s_at	1.146687824	0.005223851
11755434_a_at	1.213411419	0.005225594
11718242_a_at	1.135666925	0.005228772
11729741_x_at	-1.213245951	0.005230183
11723812_at	1.153121643	0.005233814
11747828_x_at	1.180442844	0.005241497
11760239_at	-1.175087908	0.005242347
11738142_a_at	1.125593997	0.005243176
11729667_a_at	-1.115491647	0.005243699
11725086_s_at	-1.119476515	0.005245354
11736539_x_at	-1.187439161	0.005246509
11725711_x_at	1.203130988	0.005260365
11737156_a_at	1.105649323	0.005260778
11734831_at	-1.229856028	0.005268549
11716481_x_at	1.123491299	0.005269241
11756697_a_at	-1.133286691	0.00526945
11750773_a_at	1.122817615	0.005269702
11739875_a_at	-1.120792151	0.005271773
11744445_a_at	1.136722408	0.005273825
11720932_s_at	1.088119987	0.005277314
11759491_s_at	-1.123677351	0.005281446
11729911_a_at	-1.212332572	0.005283268
11730896_a_at	1.133251971	0.005288301
11742066_a_at	1.1474093	0.005288307
11747904_a_at	1.158051321	0.005289184
11733942_a_at	-1.263203723	0.005289397
11746588_a_at	1.19858612	0.005290209
11747611_a_at	1.148702249	0.00529146
11728457_a_at	1.13575157	0.005294485
11751357_a_at	1.147475976	0.005301614
11749150_a_at	1.135993361	0.005302624
11743950_s_at	1.149643796	0.005302971
11746116_a_at	1.171322733	0.005303076
11723177_at	-1.176105981	0.005304779
11739313_a_at	1.126328114	0.005305308
11758008_s_at	-1.226217226	0.005308807
11759003_a_at	1.114735698	0.005309892
11737756_a_at	1.217853318	0.005314041
200056_PM_s_at	-1.142456411	0.005314354
11758127_s_at	1.108949068	0.005315415
11728726_a_at	1.134843869	0.005318056
11755265_s_at	-1.127954447	0.005318278
11743580_s_at	1.130096837	0.005318819
11763863_x_at	-1.171963581	0.005323751
11723907_a_at	1.156925461	0.005324326
11758587_x_at	-1.091477089	0.005331824
11761735_a_at	1.137440037	0.005338135
11747051_x_at	-1.122557583	0.005341296
11726963_s_at	1.483239046	0.00534587
11719027_a_at	1.212128369	0.005349817
11719708_a_at	1.11916853	0.005351659
11722237_at	-1.153313495	0.005352226
11747328_a_at	1.237728076	0.005352361
11719463_a_at	1.118929081	0.005353392
11739634_at	-1.161068313	0.005357978
11747925_a_at	-1.136492262	0.005359318
11732607_a_at	-1.158300322	0.005360074
11744745_a_at	-1.185697025	0.005361622
11740072_s_at	-1.146779815	0.005361887
11743511_a_at	1.161461399	0.005363866
11757593_s_at	1.139754473	0.005365133
11750132_a_at	-1.328506168	0.00537473
11754678_a_at	1.153057553	0.005378673
11735053_s_at	1.177397395	0.005380731
11728494_at	-1.157501998	0.005386575
11719127_s_at	-1.111758363	0.005390255
11725771_at	1.127464416	0.005394103
11722700_a_at	-1.189916314	0.005395558
11731616_a_at	1.126964072	0.005397276
11755427_a_at	1.130750542	0.00540002
11754774_s_at	1.109460673	0.005401941
11724165_s_at	-1.252990112	0.00540502
11745155_s_at	1.113829122	0.00540637
11743585_a_at	1.089600781	0.005407056
11725783_a_at	1.126700654	0.005414826
11737136_a_at	-1.158621306	0.005415874
11756164_s_at	-1.092295946	0.005416848
11759026_at	-1.185442262	0.005420048
11739386_at	-1.105658624	0.005421671
11750811_x_at	-1.137776019	0.005422129
11743008_a_at	1.14298376	0.005427507
11748110_a_at	1.101953257	0.00542809
11760054_x_at	1.259944424	0.005430209
11717745_s_at	1.197188206	0.005431087
11735607_a_at	1.111330922	0.005437766
11759818_a_at	-1.121232284	0.005441454
11739863_a_at	-1.290280001	0.005444943
11757154_at	1.14286646	0.005446061
11741040_x_at	-1.090599954	0.005446726
11718133_a_at	1.095916415	0.005448306
11742026_a_at	-1.098449375	0.005449664
11716604_a_at	1.105748647	0.005453042
11739524_a_at	-1.137828987	0.005453151
11748467_a_at	1.11814864	0.005453908
11718288_at	1.104980084	0.005455704
11734936_a_at	-1.10326726	0.005461154
11758153_x_at	1.121631774	0.005461704
11735633_a_at	-1.128696958	0.005464857
11723611_at	1.173627057	0.005470194
11749449_s_at	-1.110504757	0.00547439
11753472_a_at	1.231606809	0.005475276
11722611_at	-1.137129498	0.005476552
11736432_x_at	1.117997944	0.005476554
11741134_a_at	1.13943619	0.005479518
11735246_a_at	1.160844766	0.005482046
11723054_x_at	1.140815806	0.005486832
11735052_a_at	1.188783984	0.005488632
200009_PM_at	1.096154085	0.005489178
11742928_a_at	1.104432184	0.005490512
11723764_a_at	1.151384093	0.00549089
11722695_at	-1.102007012	0.005492747
11746037_at	-1.193046518	0.005493113
11732143_at	1.122881438	0.005494504
11724020_at	-1.185394939	0.005495596
11756731_a_at	1.145782507	0.005504215
11747178_x_at	1.16828485	0.005506979
11759740_x_at	1.273896599	0.005507753
11738946_at	1.136992033	0.005507976
11716230_s_at	1.226064785	0.005514213
11748840_a_at	1.1737227	0.005517599
11726262_a_at	1.114482815	0.005518457
11756260_s_at	-1.159987866	0.005521696
11725987_a_at	1.111159909	0.005522184
11742759_a_at	-1.124341399	0.005526627
11718673_at	1.114552354	0.005526791
11740146_a_at	-1.13530424	0.0055321
11715578_s_at	-1.085151715	0.005536043
11715764_a_at	1.158321661	0.005537528
11753181_a_at	1.218369168	0.005538692
11720310_s_at	1.087205935	0.005538968
11750281_a_at	-1.19017584	0.00553911
11745770_s_at	-1.115585821	0.005542878
11745220_a_at	1.159453167	0.005554294
11737834_at	1.122374384	0.005557144
11746457_a_at	-1.238783114	0.005561181
11756288_a_at	-1.160643457	0.005564085
11737098_a_at	1.162038761	0.005565599
11738999_a_at	-1.129622057	0.005565989
11757266_s_at	1.098091414	0.005570666
11725775_a_at	1.135496215	0.005571963
11726342_s_at	1.177841271	0.00557232
11753774_a_at	1.084974957	0.005580476
11742844_a_at	-1.108714087	0.005588936
11760406_x_at	-1.142958212	0.005591957
11759038_at	-1.135458591	0.005593032
11744494_x_at	1.095419226	0.005603894
11716385_at	1.118848947	0.005605978
11755388_s_at	-1.117595598	0.005611513
11739465_x_at	-1.106819838	0.005614227
11752719_a_at	1.155750288	0.005614989
11736989_s_at	-1.170947505	0.005616458
11747008_s_at	1.097280284	0.005622961
11720569_a_at	-1.171953691	0.00562443
11732606_at	-1.179092641	0.005627024
11722865_at	1.099269387	0.005630943
11743363_a_at	1.104421112	0.005632887
11732746_a_at	-1.13779283	0.005633394
11734442_a_at	1.143864364	0.005633638
11736461_at	-1.109619586	0.005634838
11741433_a_at	1.090651957	0.005637833
11722731_a_at	1.150248822	0.005643247
11736641_x_at	1.123731517	0.005648368
11716282_s_at	1.165545544	0.005648745
11751939_a_at	1.120252491	0.005649739
11742243_a_at	-1.198086825	0.005653783
11719640_a_at	-1.12500366	0.005658809
11749607_x_at	1.18582961	0.005658873
11728060_x_at	1.147185547	0.005660447
11747684_a_at	1.104784651	0.005661722
11760152_a_at	-1.132244283	0.005661991
11721858_x_at	1.152826114	0.005664021
11752047_a_at	1.146748519	0.005664427
11717948_at	-1.137943501	0.005667829
11746429_a_at	1.187661041	0.005671628
11730992_x_at	-1.152166406	0.005672007
11750919_a_at	1.135785684	0.005675356
11753908_x_at	-1.110431442	0.005678017
11720006_a_at	1.132813567	0.005678554
11738204_a_at	-1.195493135	0.005683784
11737075_a_at	-1.123429723	0.005689358
11746369_a_at	-1.126380932	0.005693496
11762534_a_at	-1.228157188	0.005695855
11721332_s_at	1.109303821	0.005699645
11736252_a_at	1.118918231	0.005702939
11739655_a_at	1.106941652	0.005703252
11734772_a_at	-1.112861738	0.005703631
11761164_at	-1.112855002	0.00570791
11724601_s_at	-1.148672162	0.005708165
11725019_a_at	1.134336473	0.005711296
11749614_a_at	1.100531564	0.005712236
11718720_a_at	-1.16623751	0.005712698
11731672_a_at	1.13674862	0.005714789
11731024_s_at	-1.197548889	0.005718219
11739831_s_at	-1.099662755	0.005723415
11719022_at	-1.229493106	0.005726996
11749234_x_at	-1.106265839	0.005727146
11722880_a_at	1.105435094	0.005727896
11717352_a_at	-1.150107017	0.005730308
11745148_a_at	-1.181492748	0.005731173
11721755_at	1.202277996	0.005733074
11741556_x_at	-1.178681914	0.005735274
11747782_x_at	1.093854749	0.005735793
11720658_a_at	1.143133231	0.005735826
11748211_a_at	1.108139864	0.005736197
11716709_s_at	-1.086725544	0.005739375
11736376_a_at	1.202725346	0.005740536
11735786_at	-1.147178752	0.005741929
11728289_a_at	1.129293668	0.005742634
11731718_at	1.175978716	0.005743999
11755947_x_at	1.088719225	0.005746247
11725554_at	1.159559619	0.005749663
11744443_x_at	-1.145953171	0.005756826
11759245_at	-1.11497302	0.005758486
11739995_a_at	1.17023892	0.005762867
11750727_a_at	1.17023892	0.005762867
11720359_at	-1.367252812	0.005763153
11730200_a_at	-1.155935428	0.005764751
11746692_a_at	1.107067902	0.005772171
11719523_s_at	1.140614202	0.00577272
11721524_s_at	-1.136733854	0.005773117
11749559_x_at	1.161702768	0.005774818
11747979_a_at	1.17973051	0.005777348
11721647_a_at	1.110353475	0.005777535
11720865_a_at	1.105790807	0.005782239
11750352_a_at	1.153426828	0.005783524
11757928_s_at	-1.271044343	0.005783693
11734477_s_at	1.099388174	0.005788373
11722427_at	-1.116729191	0.005790787
11730268_a_at	-1.308320832	0.005793213
11737215_a_at	-1.128150336	0.005795027
11725450_a_at	1.10602935	0.005799924
11731991_at	-1.157782021	0.005800157
11739011_s_at	1.121286126	0.005802612
11762576_at	-1.571022151	0.005803409
11741585_x_at	-1.187076789	0.00580652
11752552_a_at	1.164045689	0.005806952
11722861_s_at	1.25586539	0.005807054
11719212_a_at	-1.256390853	0.00581007
11748212_x_at	1.136556586	0.005810245
11749132_a_at	1.16777288	0.005815015
11734269_a_at	1.14862221	0.005819434
11732259_at	1.091194327	0.005823784
11743802_a_at	1.150908823	0.005825301
11741477_a_at	-1.152470049	0.00582585
11718310_x_at	1.140372409	0.005825972
11739974_at	-1.117875741	0.005827518
11748986_a_at	-1.09651585	0.005828565
11737750_s_at	-1.148049113	0.005830015
11729152_a_at	-1.102211124	0.005830994
11730116_s_at	-1.217864642	0.005833146
11759041_x_at	1.232416519	0.005840712
11725607_at	-1.121390194	0.005841686
11763726_a_at	-1.332071831	0.0058418
11764292_x_at	1.145379757	0.005842008
11746172_a_at	1.120146649	0.005843812
11724053_a_at	1.173163022	0.005847039
11739801_x_at	-1.120628402	0.005848403
11733056_s_at	-1.225592953	0.005850133
11719731_at	-1.153040701	0.005851779
11749617_a_at	1.141631201	0.005854937
11758032_s_at	-1.259415987	0.005856653
11717343_a_at	1.089049428	0.005858819
11761298_at	1.148290757	0.005859125
11738809_s_at	-1.149316213	0.005863044
11761923_a_at	1.118057437	0.005866591
11738309_at	1.14425425	0.005873553
11731033_at	-1.140131968	0.005876725
11716429_a_at	1.12964683	0.005880534
11746566_x_at	-1.099460746	0.005880826
11724039_at	-1.24527516	0.005885617
11760445_x_at	-1.228827305	0.005888049
11744534_a_at	1.109375189	0.005889551
11755624_a_at	1.131656814	0.005893964
11755121_x_at	-1.197441721	0.005897193
11733377_at	1.158375856	0.005899128
11748056_a_at	-1.150194411	0.005900434
11762252_at	1.143003648	0.005900867
11733603_a_at	1.165827067	0.005903643
11743357_a_at	1.134030748	0.005909228
11720038_at	1.1379478	0.00591141
11737295_s_at	-1.138709626	0.005911687
11753223_a_at	-1.137229187	0.005912295
11729705_a_at	-1.1953627	0.005918256
11719281_a_at	1.088624437	0.005920324
