PROBEID	LowvsGlass_FC	LowvsGlass_pval
11747105_a_at	2.245606426	9.14E-14
11715614_at	-2.523147538	9.25E-14
11758746_a_at	4.069416208	9.36E-14
11719560_at	-2.282017039	9.75E-14
11755344_x_at	-2.192354566	9.75E-14
11745980_a_at	2.313351071	9.89E-14
11730850_at	-3.687661919	1.02E-13
11716710_a_at	-4.916526989	1.05E-13
11755251_x_at	-2.678613264	1.05E-13
11726657_a_at	2.093857839	1.06E-13
11730264_a_at	-2.338297249	1.12E-13
11741964_s_at	-2.295679543	1.12E-13
11719563_a_at	-2.462448869	1.13E-13
11718766_at	2.301267902	1.15E-13
11729101_a_at	3.944851781	1.16E-13
11752670_a_at	-2.403288421	1.19E-13
11716094_a_at	-2.572953423	1.19E-13
11745459_a_at	-2.351723297	1.21E-13
11748670_a_at	-2.596263888	1.22E-13
11721071_s_at	2.405636148	1.23E-13
11753632_x_at	-3.718565647	1.26E-13
11752940_a_at	-2.588884666	1.29E-13
11739094_a_at	-2.803246096	1.33E-13
11718891_s_at	-2.249419146	1.34E-13
11715562_x_at	-3.346291488	1.39E-13
11743908_a_at	2.144905061	1.39E-13
11725983_at	-2.154554012	1.39E-13
11727183_at	-2.693421243	1.41E-13
11748909_a_at	-2.574512723	1.42E-13
11753422_a_at	-2.574512723	1.42E-13
11751612_a_at	-2.012488244	1.42E-13
11723487_a_at	-3.38575956	1.49E-13
11724271_a_at	-3.216125754	1.56E-13
11733024_x_at	-2.118619185	1.56E-13
11717008_a_at	-2.605158597	1.58E-13
11722857_a_at	-2.598194886	1.58E-13
11716337_s_at	-2.227356999	1.71E-13
11715615_at	-2.946282984	1.73E-13
11749852_s_at	-1.98390488	1.84E-13
11721629_a_at	-3.079234914	1.85E-13
11724272_at	-2.947693676	1.87E-13
11723490_at	2.811564714	1.88E-13
11719372_s_at	-2.621579485	2.00E-13
11723019_at	-2.418031414	2.06E-13
11757420_s_at	-2.464239852	2.15E-13
11735148_a_at	-2.320060788	2.28E-13
11740361_s_at	-2.359260393	2.34E-13
11762282_x_at	-2.214781282	2.36E-13
11730176_x_at	-2.478011974	2.38E-13
11743721_at	-1.997558788	2.40E-13
11715649_s_at	2.305126267	2.48E-13
11726189_x_at	-1.963909886	2.50E-13
11756509_a_at	-2.093836369	2.55E-13
11756174_s_at	-2.135811219	2.56E-13
11717567_a_at	1.925908628	2.60E-13
11754154_a_at	2.921062536	2.61E-13
11718061_at	-3.362664473	2.77E-13
11732158_a_at	-2.934593614	2.84E-13
11733981_a_at	-3.137145989	2.85E-13
11746023_a_at	2.132254702	2.96E-13
11715288_s_at	-5.931261822	2.96E-13
11753446_x_at	2.288005335	3.00E-13
11744680_a_at	2.859983951	3.01E-13
11752840_a_at	2.43120975	3.02E-13
11751867_a_at	1.959457016	3.06E-13
11756547_a_at	2.051648827	3.10E-13
11715359_a_at	2.540690259	3.13E-13
11750141_a_at	1.976146965	3.13E-13
11748072_a_at	2.187127009	3.18E-13
11739146_a_at	-2.429087664	3.23E-13
11719934_a_at	2.995520166	3.24E-13
11715971_a_at	-1.96273581	3.32E-13
11727707_a_at	-2.08668671	3.32E-13
11721335_x_at	-2.455501034	3.35E-13
11734658_s_at	-2.005921878	3.50E-13
11719561_s_at	-2.28948911	3.51E-13
11746561_a_at	-3.702740087	3.61E-13
11729170_x_at	-1.997302517	3.73E-13
11756581_s_at	1.979488465	3.73E-13
11757894_x_at	-2.184075156	3.75E-13
11741396_s_at	-2.758959703	3.81E-13
11758043_s_at	-2.044599017	3.83E-13
11744228_x_at	-1.98404634	3.97E-13
11739699_at	-3.432523708	4.10E-13
11718366_s_at	-2.13446604	4.13E-13
11736477_a_at	2.466386619	4.16E-13
11743682_s_at	-2.477558905	4.25E-13
11757924_s_at	-2.26325858	4.25E-13
11732848_a_at	-2.302129309	4.40E-13
11736523_x_at	-1.979627502	4.45E-13
11730173_at	-2.255557049	4.47E-13
11739541_a_at	-2.32887515	4.63E-13
11751211_a_at	-1.949960474	4.83E-13
11731325_a_at	5.814110164	4.92E-13
11718890_x_at	-2.220760637	4.98E-13
11744371_s_at	-2.117514019	5.06E-13
11720704_s_at	1.94134358	5.12E-13
11716825_a_at	2.293304104	5.13E-13
11745878_x_at	-2.050251366	5.14E-13
11733088_at	-3.993935069	5.28E-13
11732996_at	2.138636855	5.29E-13
11743010_at	-2.205757308	5.33E-13
11736440_at	2.517539981	5.46E-13
11719242_s_at	-1.958682729	5.59E-13
11731318_a_at	-2.042647267	5.92E-13
11725751_a_at	-1.870224599	5.93E-13
11715613_a_at	-2.640930077	6.13E-13
11727867_a_at	-5.162539344	6.17E-13
11743907_a_at	2.035004651	6.22E-13
11757741_s_at	-2.456925502	6.31E-13
11718394_at	-2.712047901	6.34E-13
11724068_at	-2.894144002	6.35E-13
11757044_x_at	-2.186556584	6.46E-13
11716729_a_at	1.832916743	6.73E-13
11718213_a_at	2.35929334	6.80E-13
11723699_s_at	-2.487321488	6.90E-13
11728190_s_at	-4.040111154	6.90E-13
11734912_s_at	-1.941114847	6.96E-13
11723627_at	2.27440503	6.97E-13
11715708_s_at	-1.933339374	6.97E-13
11733023_s_at	-1.997850782	7.20E-13
11728719_a_at	-3.181900037	7.28E-13
11720948_a_at	2.020887976	7.51E-13
11756127_a_at	-2.156149104	7.52E-13
11716523_at	-2.306432324	7.99E-13
11728943_at	-2.498086395	8.04E-13
11721070_a_at	2.217982497	8.10E-13
11716364_s_at	2.007260278	8.16E-13
11725706_s_at	-2.290219849	8.22E-13
11758123_a_at	2.087467476	8.68E-13
11737040_s_at	-3.516177693	9.25E-13
11750416_a_at	3.438461786	9.31E-13
11730175_at	-2.383555529	9.46E-13
11748604_a_at	-2.090106724	9.48E-13
11718927_a_at	-2.677803426	9.56E-13
11758249_s_at	-2.112972384	9.89E-13
11721774_a_at	2.179670431	1.01E-12
11721435_at	-2.938035418	1.03E-12
11727105_s_at	-3.300178113	1.05E-12
11743084_s_at	-1.834358954	1.05E-12
11717743_a_at	1.83569327	1.05E-12
11728255_s_at	-1.871264427	1.06E-12
11741354_a_at	1.801532836	1.08E-12
11721430_a_at	2.068760184	1.09E-12
11729169_a_at	-2.119541808	1.09E-12
11724173_at	1.905485908	1.11E-12
11745127_x_at	-1.895371519	1.16E-12
11744763_x_at	1.874641298	1.20E-12
11734489_a_at	1.949329085	1.22E-12
11716048_at	-2.265406542	1.22E-12
11754931_a_at	2.354817637	1.28E-12
11753445_a_at	2.169951267	1.30E-12
11733068_s_at	-2.441070764	1.30E-12
11719562_at	-2.175338373	1.34E-12
11745021_a_at	-1.762182387	1.42E-12
11717096_a_at	1.974829777	1.43E-12
11724944_at	-2.63298706	1.44E-12
11739540_a_at	-2.213482604	1.46E-12
11737906_x_at	-2.33072682	1.48E-12
11753665_x_at	-1.845102901	1.48E-12
11745248_a_at	-1.854610212	1.49E-12
11751084_s_at	-2.093609572	1.50E-12
11716460_x_at	2.023229789	1.54E-12
11729218_a_at	3.135736812	1.54E-12
11758557_s_at	-1.971988325	1.64E-12
11727400_a_at	-2.092197834	1.64E-12
11716822_a_at	-2.022189206	1.66E-12
11716093_a_at	-2.411856507	1.67E-12
11755966_x_at	-2.513357719	1.68E-12
11744194_a_at	3.149632309	1.71E-12
11744596_a_at	-2.145949534	1.71E-12
11725902_s_at	-2.389840847	1.72E-12
11716365_x_at	1.907114556	1.72E-12
11726022_a_at	1.825351573	1.73E-12
11718081_a_at	-2.768539042	1.75E-12
11749659_s_at	1.859335315	1.75E-12
11718617_a_at	1.954578507	1.75E-12
11718474_a_at	1.874927623	1.76E-12
11753735_x_at	-2.31407407	1.79E-12
11726925_x_at	-1.775767891	1.82E-12
11740938_a_at	-2.025212537	1.82E-12
11743036_s_at	-2.455252453	1.83E-12
11717326_at	-2.558880096	1.84E-12
11750222_a_at	-2.198331061	1.84E-12
11741773_x_at	-1.834153897	1.87E-12
11718841_s_at	-3.511095538	1.89E-12
11719813_s_at	1.771088529	1.90E-12
11757721_s_at	-2.061841655	1.96E-12
11746818_s_at	-1.814622792	1.97E-12
11748610_a_at	-2.705164835	1.98E-12
11729482_a_at	1.846516062	1.99E-12
11743724_a_at	1.788803187	2.01E-12
11755028_a_at	1.944072615	2.10E-12
11757320_x_at	-1.743573274	2.13E-12
11749897_x_at	2.063197035	2.15E-12
11726013_a_at	-1.938824092	2.17E-12
11757815_s_at	-2.432591659	2.22E-12
11723446_s_at	-1.854734262	2.23E-12
11758159_a_at	2.133054546	2.23E-12
11723604_a_at	-2.366591909	2.25E-12
11747890_a_at	2.252883687	2.30E-12
11745754_x_at	1.775349576	2.32E-12
11757476_x_at	-1.940499081	2.35E-12
11755663_s_at	-2.457611484	2.36E-12
11763717_a_at	-2.884969527	2.42E-12
11732375_a_at	1.828032068	2.43E-12
11733857_x_at	-1.942693828	2.45E-12
11723338_a_at	-2.490380614	2.45E-12
11725752_x_at	-1.914504264	2.46E-12
11723205_a_at	2.322095896	2.46E-12
11748543_a_at	-2.49059639	2.48E-12
11725705_a_at	-2.030732633	2.58E-12
11741827_x_at	-2.070090632	2.59E-12
11726881_a_at	1.866566603	2.60E-12
11746261_s_at	-2.2424504	2.61E-12
11721334_a_at	-2.602489352	2.63E-12
11752843_x_at	2.225861694	2.63E-12
11720946_at	1.89411973	2.74E-12
11758392_s_at	-2.648157171	2.77E-12
11724046_a_at	2.018830902	2.78E-12
11748536_a_at	2.367460069	2.78E-12
11726626_at	-2.088052725	2.81E-12
11726113_a_at	-1.738144775	2.81E-12
11742945_a_at	1.944861557	2.82E-12
11745789_a_at	-1.81396694	2.86E-12
11753086_x_at	-1.746691971	2.91E-12
11753740_x_at	-1.761084403	2.97E-12
11757303_s_at	-2.406838522	2.98E-12
11741068_s_at	-2.200842255	2.99E-12
11717860_a_at	-2.443506166	3.02E-12
11758271_s_at	1.950972708	3.03E-12
11722422_a_at	-1.723224081	3.06E-12
11716780_s_at	-2.061226946	3.07E-12
11734591_x_at	-2.493350292	3.08E-12
11755745_x_at	-1.997847717	3.11E-12
11721206_x_at	-2.118096314	3.21E-12
11717861_a_at	-2.570893032	3.22E-12
11726611_x_at	-3.731727616	3.23E-12
11728701_a_at	-1.844410564	3.24E-12
11717516_s_at	-1.884235247	3.25E-12
11716292_a_at	2.653558397	3.25E-12
11742946_s_at	-3.461414837	3.28E-12
11753421_a_at	-2.395275851	3.42E-12
11733017_a_at	-2.656590523	3.42E-12
11722705_at	-3.355029166	3.47E-12
11721135_s_at	1.738682845	3.49E-12
11730795_at	2.069757782	3.57E-12
11741263_s_at	-2.552962985	3.57E-12
11749254_a_at	2.164561487	3.62E-12
11756761_x_at	1.746000144	3.62E-12
11751237_a_at	-1.957819839	3.62E-12
11716293_x_at	2.769860164	3.64E-12
11738997_s_at	-2.382134828	3.66E-12
11743730_at	1.770994183	3.67E-12
11742669_s_at	1.929456995	3.68E-12
11731751_at	2.131596292	3.73E-12
11736522_a_at	-1.983990176	3.75E-12
11725096_s_at	2.087341804	3.76E-12
11758446_s_at	-2.13372926	3.81E-12
11728446_a_at	-1.962498779	3.81E-12
11728256_x_at	-1.838707837	3.83E-12
11739501_a_at	-2.322721402	3.84E-12
11717378_at	1.771193841	3.91E-12
11759551_at	-2.195306708	4.03E-12
11722405_at	-2.510019015	4.13E-12
11725152_at	2.573214596	4.13E-12
11721333_a_at	-2.357418357	4.14E-12
11728141_at	-3.137918698	4.17E-12
11749291_a_at	-1.68069912	4.19E-12
11744045_a_at	1.885777929	4.26E-12
11743808_a_at	-1.866586182	4.28E-12
11742683_x_at	1.808954206	4.29E-12
11724414_a_at	-2.173873185	4.32E-12
11721149_a_at	1.87697827	4.42E-12
11730527_a_at	-2.442339805	4.47E-12
11717155_a_at	1.675904834	4.50E-12
11763171_at	-1.769196481	4.65E-12
11726624_a_at	-1.901723838	4.74E-12
11756230_a_at	-2.366305574	4.76E-12
11719812_a_at	2.395712966	4.81E-12
11751643_x_at	-2.705216214	4.82E-12
11730853_s_at	-2.576034336	4.88E-12
11751633_x_at	1.988730813	4.96E-12
11715638_s_at	1.742190053	5.07E-12
11752681_s_at	-1.750427119	5.24E-12
11721539_at	-2.032210651	5.27E-12
11753661_a_at	-1.843987324	5.31E-12
11717097_a_at	1.756699241	5.34E-12
11717099_at	1.89524859	5.35E-12
11732133_a_at	1.995402317	5.42E-12
11715432_a_at	-1.911360159	5.45E-12
11741197_s_at	-1.903455273	5.49E-12
11726147_at	-2.045360483	5.54E-12
11747001_a_at	-1.831430758	5.55E-12
11758314_s_at	1.691506993	5.56E-12
