gene	pval	qval	mu0	k	t0
121	Mir22hg	1.53169922023063e-06	0.000216159470121143	11.961141582728	1.68552590571928	3.58150385594532
122	Cntnap5a	1.57982925758192e-06	0.000217557777439265	14.3995261979633	22.7495379657069	6.95750788513335
123	1700023H06Rik	1.57778350791725e-06	0.000217557777439265	4.79882886465354	-5.63615491066628	4.64202606543357
124	Sftpd	1.57982925758192e-06	0.000217557777439265	14.3995261979633	22.7495379657069	6.95750788513335
125	2810008D09Rik	1.59492428019323e-06	0.000217879416068637	104.97929417785	-0.338189132346802	-9.45559341112945
126	Sept4	1.63156979689318e-06	0.000221116554378952	9.52660338300204	12.3122656196525	6.22555173980479
127	Tspan1	1.64716394811648e-06	0.000221472217149897	51.4249315068506	5.30943835836374	6.83429937458742
128	Stil	1.68422092170314e-06	0.000224685597335959	18.7693677412656	-130.761729982618	2.28092066493142
129	Tmie	1.70222425698847e-06	0.00022532698769252	8.89139366103964	2.36084603682884	6.04774474875502
130	Ckap5	1.72172185545972e-06	0.000226154787721771	486.760448842641	-0.501163749823373	-6.13628730802301
131	Tnfrsf1b	1.76060027835706e-06	0.000226634154382672	7.69954719675957	26.819569468476	5.90488771178269
132	Gm29292	1.76518754584771e-06	0.000226634154382672	7.32560882217451	0.385230766947108	6.9983179378898
133	2610015P09Rik	1.73956045805812e-06	0.000226634154382672	4.87589929073478	-14.3950882622996	4.89853620786323
134	Rin2	1.81350127768659e-06	0.0002302910027014	32.4038545813889	1.69941548971465	3.73434418840042
135	Pus7	1.8206421506611e-06	0.0002302910027014	10.1150688158865	-3.32647972170582	3.43046417956119
136	Pcdhga1	1.8612866589608e-06	0.000233700963150107	7.40685851935964	33.6081489821903	5.55480840522478
137	Ccdc3	2.02316801836111e-06	0.000252172387456455	110.976175206038	4.49409332269458	7.17206713614107
138	Adh1	2.12446074590241e-06	0.000261749674007418	21.134000372461	5.67722083987132	6.63319419686078
139	Stxbp4	2.13258683098598e-06	0.000261749674007418	11.5271420389317	-0.532370198248031	2.82418506413188
140	Rac2	2.14599170537822e-06	0.000261749674007418	175.667453330327	1.04569085157755	10.0005745460564
141	Apool	2.28367616538175e-06	0.000276567760284104	31.9865312916851	-2.09098167427358	6.84359991042813
142	Chil4	2.33743564659335e-06	0.000281084866910057	40.1001780928013	38.2853496557736	7.02915130102985
143	Fam129a	2.46828414947129e-06	0.000290678759561185	411.903732413648	0.788714628071182	10.1756871363461
144	Skint10	2.46699481143768e-06	0.000290678759561185	1667.1687160145	0.5606974060519	12.8743683862665
145	Gna14	2.44224366550152e-06	0.000290678759561185	69.7795891172488	4.53540602045121	7.03195176004123
146	Npdc1	2.49179132358657e-06	0.000291437182476467	9.00054825473102	11.6930303984819	6.2323267401686
147	Alox15	2.51086860619678e-06	0.000291670696050451	26.8808429320021	4.05171378452088	6.9420757079594
148	Ifi203	2.64290961989636e-06	0.000304934626144259	8.93477283323352	9.98950247670613	6.27115681095647
149	D730003I15Rik	2.72215003755116e-06	0.000310803625173069	106.638354683018	0.400535993785716	12.1518630521355
150	Bex1	2.73017942000236e-06	0.000310803625173069	47.0517262653729	-14.2580654003254	2.89608664862994
151	Tpx2	2.75718596540331e-06	0.000311799387716735	20.3156964977375	-1.27653256397567	3.43941663225828
152	RP23-81K14.2	2.79920153859286e-06	0.000314468193901392	7.0694662435236	19.8339855166467	5.12387888985565
153	Trim30d	2.85296197683986e-06	0.000318412932787695	554.067906274062	1.59815117223406	9.1577597395822
154	Hck	2.90585509863975e-06	0.000322210270547873	28.0229684303284	2.98642058224845	7.26620254776801
155	Sp110	3.12998293982383e-06	0.000342612747951485	69.5463822308709	0.701567100532914	7.30532547265267
156	Grb14	3.12148540266897e-06	0.000342612747951485	41.2103664802962	-0.740623809365839	-0.410396492484189
157	6430548M08Rik	3.27591488798169e-06	0.000354435118510547	9.01002171437227	9.45874756240856	6.28731433511476
158	A730090H04Rik	3.27950039380806e-06	0.000354435118510547	357.759521804679	0.696572870964216	12.1228285209666
159	Eef1b2	3.34203598304538e-06	0.000358922053122533	274.792751508083	-1.37174465053047	6.80483123456233
160	Cx3cl1	3.43573894334563e-06	0.000366679238728562	509.242124974218	1.4510970778009	8.49805492826258
161	A130010J15Rik	3.46226867115609e-06	0.000367215526886096	65.6552259311592	-0.432321919604507	2.10826791248961
162	Pou2f3	3.49601289639355e-06	0.000368505655671705	207.026771122128	0.986438198139976	10.224310399509
163	Lrmp	3.58845494113682e-06	0.000373636930334465	21.652029408486	8.64495910187869	6.42014173583415
164	Nell1	3.57964126063157e-06	0.000373636930334465	22.3184956048626	-48.6013169521736	1.99508593925
165	Pdia5	3.74361105719315e-06	0.000387429711591698	693.898787445315	-0.31355976716069	-10.7420409784195
166	Adam22	4.02775368464956e-06	0.000414324830837806	8.46449563544111	-15.2794953337459	1.82571701781843
167	Gm21596	4.14533135434509e-06	0.000421343322659505	6.61727263100242	-0.365603014620583	4.08616346543912
168	Top2a	4.13420246380552e-06	0.000421343322659505	186.786056285775	-1.07439541107349	0.781118717378248
169	Bves	4.17818847331501e-06	0.000422170096865841	33.2763204046739	-0.707151471093069	-0.42649887553669
170	Lrp10	4.24976464251717e-06	0.000426876359033077	680.762889577663	0.749530276664993	10.5587237356494
171	Ncaph	4.41646185340133e-06	0.000441026331044919	23.2323636604195	-6.14199276069423	3.11489979554115
172	Fam72a	4.58270231300145e-06	0.000454966422655889	5.17040645743045	-2.72311825646174	3.29561449517103
173	Gm26789	4.63038962859156e-06	0.000457043545074159	126.472000446981	-1.17009746976742	-1.45721123495062
174	Igfbp7	4.7093491291156e-06	0.000462165780050448	470.134345520718	31.0969859445198	7.07989968311941
175	Snrpd2	4.92210420970827e-06	0.000480284865628448	101.756402816003	-0.839147330995261	6.50666541082934
176	Rab43	4.97991489373911e-06	0.000480435179240051	800.053969242221	0.568574913584474	12.6839385222387
177	Cd14	4.96468514887613e-06	0.000480435179240051	11.5204542998023	48.1687246712181	5.01386238431175
178	Tgfa	5.04128035860307e-06	0.000483623052828685	7.70471405189897	-2.22927002591697	1.97958647841786
179	BC001981	5.07732802148515e-06	0.000484360074273075	34.84814252913	-1.01562031926177	5.83028383557456
180	Oip5	5.1725353812992e-06	0.000490701189839251	409.044310988179	-0.543844908919111	-2.97049582597636
181	Pctp	5.40086983428961e-06	0.000509531786134416	733.332444215232	-0.622897495300953	-4.85488998359645
182	Gm26776	5.48570020792292e-06	0.000511878780057332	3507.87530435293	860.371832916451	7.00562262243813
183	Timeless	5.48402797556345e-06	0.000511878780057332	300.439120386343	-1.00517538572224	-2.80384998185228
184	Pbxip1	5.525058154201e-06	0.000512749418701827	9.19004443916615	12.3175920630256	5.88920945449537
185	Gas2l1	5.59140805502428e-06	0.000513327333051584	1568.55737194892	1.01117255400667	10.8836753544834
186	Gpr98	5.56548094892764e-06	0.000513327333051584	10.5758080906961	-2.00239213754175	1.83277304220978
187	Gm17040	5.77046536895622e-06	0.000518747511066859	319.904931581519	0.396037479805797	16.9985451697878
188	Gm17041	5.77196223370247e-06	0.000518747511066859	812.77442986755	0.407558209878841	14.3405869324187
189	Sbno2	5.70504946623101e-06	0.000518747511066859	146.282595243025	1.89287972661931	7.90983749137457
190	Greb1l	5.73785542187765e-06	0.000518747511066859	14.8202717194188	13.1466596480248	6.24652244359558
191	Dab1	5.94049473160873e-06	0.000525595274802853	5.15365269353742	-2.21565309154388	3.21060565552583
192	Plet1	5.88221824398429e-06	0.000525595274802853	18.219409039261	37.7254685124405	6.45506441996044
193	Suz12	5.9216671211409e-06	0.000525595274802853	267.123103945357	-0.420723908482737	-4.59728390805438
194	C1ra	6.03022708391678e-06	0.000528062347102374	8.70638522807042	72.7080447128635	4.73849547934549
195	Mfsd2b	6.02629414090634e-06	0.000528062347102374	7.28802517980131	-2.36258476340789	2.04984494177309
196	Hsd11b1	6.1743966852734e-06	0.000537928560192493	5.81211332057629	23.4134018263956	5.09577157308016
197	Upk2	6.22168437718094e-06	0.000539296865100211	110.99064299301	-2.27734533979309	-0.134703615648256
198	Tgfb3	6.31269917635339e-06	0.000544422480481871	20.7963765252762	1.51127796143301	5.54229670653776
199	Resp18	6.39370669294505e-06	0.000548637866777536	85.2412652911727	72.4067627314549	7.03013094055236
200	Plekhm2	6.76104001245951e-06	0.000571908492278213	176.003264879662	1.32567158374566	9.02311030296609
201	Kctd7	6.8658491987019e-06	0.000571908492278213	11.2543203568786	1.23173699424816	5.46427471854214
202	Adcyap1r1	6.801855869888e-06	0.000571908492278213	54.080117766436	31.3801830313002	7.05319480835946
203	Ric3	6.801855869888e-06	0.000571908492278213	54.080117766436	31.3801830313002	7.05319480835946
204	Cldn6	6.86551717980016e-06	0.000571908492278213	80.3457704565316	-73.0403442828879	2.25702828966896
205	Sorcs3	6.801855869888e-06	0.000571908492278213	54.080117766436	31.3801830313002	7.05319480835946
206	Arap1	6.98391919233626e-06	0.000578919437516184	37.8027965747014	110.339195032251	6.99604053748195
207	Muc1	7.28707850098201e-06	0.000601131171414342	8.52245338954689	55.060013539632	6.89624578789873
208	Mki67	7.41901938883623e-06	0.000606158732458217	807.458655669645	-0.65553664028198	-4.76883647742238
209	mt-Tq	7.38365885579562e-06	0.000606158732458217	629.780345508713	-0.29311058653596	-11.395680397334
210	Myl9	7.50063334075759e-06	0.00060990864250846	3345.74237412433	2.06065023173419	9.03907468155224
211	Cbx7	7.58952706870778e-06	0.000614212152726323	9.06235210288753	10.8355113265736	5.04783621593268
212	Oas1g	7.67838903003145e-06	0.000618472505079326	12.7815525764411	9.52772947115603	3.99144110155895
213	Diap3	7.9815834377088e-06	0.000639875675034345	4.50712417255347	-0.954451198696227	3.42285233654316
214	Wisp1	8.12855320440741e-06	0.000648612965039537	6.08496048353452	-2.86213889897691	2.44998722800017
215	Afap1l2	8.1686234687042e-06	0.000648778671402758	14.6079596034277	18.6330583551686	6.98428239754958
216	Actr3b	8.36327961518551e-06	0.00065530686518226	104.686761602996	-74.2302993432469	0.967046719094846
217	Ifitm2	8.35634564845662e-06	0.00065530686518226	362.241841316973	0.325158614059632	2.58597319804907
218	Tmc6	8.36594615892086e-06	0.00065530686518226	15.8864092172902	-1.72164667854849	1.31682302703562
219	Urah	8.41901345708035e-06	0.000656452391749334	238.889868098213	3.27623086560077	7.65645620244675
220	Smtnl2	8.53635603961496e-06	0.000662576435147569	31.0070550146119	-12.0552972160682	5.03099460679405
221	Cdhr2	8.73878101486336e-06	0.00066916333905743	16.1352005691933	21.800527678993	6.99745850783698
222	Upk1b	8.72951180453066e-06	0.00066916333905743	53.0607941634634	1514.21993743397	6.99975312096404
223	Phex	8.73878101486336e-06	0.00066916333905743	16.1352005691933	21.800527678993	6.99745850783698
224	Mtfr2	8.98425968323334e-06	0.000681845414892856	913.56984110685	-0.965941273628478	-2.34080330353094
225	Il17rd	8.96673065166205e-06	0.000681845414892856	428.820522537612	-0.645577457000047	-5.77055467969935
226	Atp11c	9.03389464614682e-06	0.000682578694591164	11.61925261222	-4.20008953033181	2.43079916660019
227	Tex11	9.27421918404083e-06	0.000697650073950138	43.3902126704686	37.0867176674715	7.03917271009762
228	Ephx1	9.39324130725321e-06	0.000703504335801122	6690.98289865934	1.44588897843185	10.1040744911804
229	Ifi204	9.76776309139307e-06	0.000726968517612433	23.9528490293307	14.7158969390513	7.00026276748327
230	2010107G12Rik	9.79168183713162e-06	0.000726968517612433	37.328840537657	29.4047000448076	7.04328761624823
231	Gldc	9.87052549063241e-06	0.000729649754450385	6.14771975437595	-3.08164118469466	2.29387395301577
232	Slc35e4	1.008865191947e-05	0.000742559569727889	4.80109195957829	1.94533608643185	4.83375764020433
233	Tbx15	1.02871001416272e-05	0.000753916403512555	53.2339756471784	38.4301120664241	7.04464975888244
234	Lims2	1.03426824496822e-05	0.000754750621840914	215.45094911048	0.872155796734043	11.1353723578611
235	Clip4	1.06324502379883e-05	0.00077259455431442	32.9968449006758	18.0867019464145	3.06672846461248
236	Arhgap15	1.09369088566757e-05	0.000791350235748281	249.362230190045	0.993762027140247	10.7717889283328
237	B230217C12Rik	1.10604461447503e-05	0.000793563774654436	21.8615949274232	0.786985880957539	3.86243353200526
238	Rnaseh2c	1.10588300501139e-05	0.000793563774654436	51.9237490706709	-0.493090925633159	4.8873311429545
239	Serpinb7	1.11566306777855e-05	0.000797115587673079	98.726679251548	2.4726802145872	8.02592146835932
240	Upb1	1.12062933718595e-05	0.000797327773407807	40.1757458950041	1.50373683517365	7.51565737299264
241	Traf3ip3	1.13966426147673e-05	0.000807506511575795	13.9320143921118	-0.607717595388153	4.21650376338954
242	Epdr1	1.14720238454268e-05	0.000809488756960778	35.2639693501447	0.791271127675863	3.73455507770309
243	Il17rc	1.16691619887162e-05	0.000813621791885668	24.3473605506139	0.794545334738591	5.63422131021237
244	Ano1	1.171067882123e-05	0.000813621791885668	7.20616644334125	-1.94719775417108	1.9166533905236
245	Adam28	1.16979860885195e-05	0.000813621791885668	368.544380208478	0.356952480069818	14.6684231265665
246	Apol9a	1.17211853363712e-05	0.000813621791885668	32.7863075237634	23.951749575173	7.04739804284746
247	Serpinb6b	1.1807094224656e-05	0.000816266967531276	3809.3959384215	1.08590265835378	11.0918461952462
248	Il2ra	1.19810277619358e-05	0.000824951734124254	6.2500651912557	14.1842486996336	4.01719077113228
249	Glt8d2	1.21470483838502e-05	0.000833024089167174	5.50812427078649	14.1760937262445	4.8888429166798
250	Vamp4	1.22390076461762e-05	0.000835973178264418	45.7208266048198	-1.40534145741507	6.87129678151908
251	Il12rb1	1.26804824449138e-05	0.000862676965057162	16.0145789100659	12.8740008345332	7.00226879076089
252	Atf6	1.35153612236361e-05	0.00091582662005877	336.817352070884	0.547836386808847	12.2643153743745
253	Angptl2	1.35994829003815e-05	0.000917884466430492	64.4702040852798	1.10160435654705	4.65556065348645
254	Lpl	1.39373327164794e-05	0.000933309386143539	4253.20356893943	1.00012394353762	12.2820682772005
255	Mef2c	1.39211166842005e-05	0.000933309386143539	7.1704694299813	-6.40299350803023	3.00238313001562
256	Tmem236	1.43025665537947e-05	0.000950313721683259	41.6710131734767	28.4232590459898	7.05185548404127
257	Bgn	1.43025665537947e-05	0.000950313721683259	41.6710131734767	28.4232590459898	7.05185548404127
258	Ubash3b	1.44517224206336e-05	0.000956502372305188	732.365096267894	-1.03143481041818	-2.59001265863098
259	Gm5860	1.46801182570112e-05	0.000967867565083875	4.26460807477022	-4.04567478968669	3.54570039738579
260	Homer1	1.48419662876196e-05	0.000974774678182277	185.554807903884	-0.450764156163228	-4.36506356545055
261	Slc22a18	1.53800344013124e-05	0.00100624317025598	213.714572637815	0.815278883106293	11.4683134396362
262	Cd52	1.56468057184201e-05	0.00101357719643491	8.23505168929605	15.1081522771193	5.02142451900587
263	Fez1	1.55962601258507e-05	0.00101357719643491	6.10211063536431	-2.56445279046451	2.18723460996395
264	Gnmt	1.56702026152973e-05	0.00101357719643491	14.430365568028	1.30851122890142	3.6089688304446
