	C1	C2	C3	RA1	RA2	RA3	high
NONO	557.062023430195	582.267762327528	601.565803722326	519.564977105983	542.623087231553	546.944427249838	9.17993727990353
DCAF7	598.535483376915	570.004502079289	564.033306697227	570.004502079289	462.759850486509	493.370096087104	9.17325300636957
SLC38A1	560.866029147356	585.132971288447	585.132971288447	459.961905400077	478.938023216597	442.082232783353	9.17225126697866
TPT1	591.335643179435	588.692783599254	536.463716767094	479.624313608123	530.36874410909	564.033306697227	9.15884711671597
KPNB1	564.033306697227	572.640198429326	577.263284491539	503.548389231236	503.548389231236	519.146791953781	9.15806911489962
RBMX	554.054179418142	568.700271458525	574.508126497906	419.464669648703	493.370096087104	503.548389231236	9.1438638075693
KIF1A	540.873645335533	539.129843720991	617.510949442326	624.58114382963	513.023022775173	504.766715582896	9.14131922082367
CLTC	574.508126497906	560.866029147356	557.062023430195	640.015413790863	621.637370484217	570.004502079289	9.13979667990126
VCAN	540.873645335533	542.623087231553	582.267762327528	466.29585384025	454.729896165378	393.492134317202	9.11616444956281
NUMA1	570.004502079289	495.147646192374	591.335643179435	631.257522288857	555.694020668562	551.576866029512	9.10479263460172
PTEN	568.700271458525	536.463716767094	546.944427249838	317.629016794176	390.37907149285	384.455640587332	9.10470397179894
HIST1H1C	601.565803722326	504.766715582896	542.623087231553	458.565393108008	496.120362351535	560.866029147356	9.09861944727111
HDLBP	546.944427249838	523.592342651833	551.576866029512	496.120362351535	510.171209322742	527.91951649725	9.07832292379634
RAN	525.705485228515	557.062023430195	539.129843720991	374.785151202657	459.961905400077	487.940998506627	9.07809803221891
CFL1	523.592342651833	552.814135034563	545.151989815058	504.766715582896	546.047473058438	613.687234775247	9.07782186194538
RPS19	536.463716767094	552.814135034563	529.142713221421	467.993433619701	536.463716767094	536.463716767094	9.07516685069391
RPL23A	530.36874410909	564.033306697227	523.592342651833	424.765580504227	482.676764410053	498.382743350164	9.07426289400517
CTNNB1	504.766715582896	549.128315292037	554.054179418142	449.881927287518	523.592342651833	515.805528387502	9.06478523864214
HIST1H1E	572.640198429326	510.171209322742	519.98349911632	470.253272426411	474.574511682634	507.60374047226	9.05954828182175
RPS23	549.128315292037	545.151989815058	504.766715582896	398.874417000709	467.25939384512	478.938023216597	9.05699572292528
CDK6	577.263284491539	489.29285146342	533.984330951023	242.727507593019	256.84507030121	258.703365326953	9.05609788403891
RPL9	545.151989815058	546.944427249838	501.016790388631	394.316887668762	470.253272426411	482.676764410053	9.05149342981071
KIF5C	507.60374047226	519.146791953781	555.694020668562	422.959372891229	403.405076286355	380.776989105089	9.04190150452587
HAND2	519.146791953781	500.295194420715	560.866029147356	338.807690299904	378.356808275944	347.87962891551	9.03938229826721
MAP3K1	527.91951649725	530.36874410909	519.146791953781	368.935754237995	417.225192422171	405.746147045252	9.03834161818694
RPL23	551.576866029512	527.91951649725	496.120362351535	397.912509753109	451.879578288302	474.574511682634	9.03537956379982
IPO5	533.984330951023	513.023022775173	499.574637740803	432.553820256387	440.722184036993	435.153661902638	9.00936326168958
DYNC1H1	519.98349911632	515.805528387502	507.60374047226	896.309085828178	662.851474155466	530.36874410909	9.00685478260498
UBB	506.410950448466	533.984330951023	494.176837184784	429.753373851094	506.410950448466	539.129843720991	8.99790065676599
TNPO1	502.234197615874	503.548389231236	522.747148496154	287.486736223422	366.096123311215	331.62612158439	8.992724181923
CCT5	513.023022775173	522.747148496154	479.624313608123	366.096123311215	414.986680903601	420.62642221094	8.97953674077743
CCT3	499.574637740803	519.98349911632	487.940998506627	348.422970361371	389.183996553685	424.398710908478	8.97248045223116
EIF4G1	501.016790388631	459.961905400077	549.128315292037	536.463716767094	480.576272552315	464.318407114582	8.9716950689533
ATP5A1	498.382743350164	507.60374047226	489.29285146342	369.554630075065	450.462058293903	472.105127754692	8.96107453010717
UNC5B	475.948423006431	487.940998506627	525.705485228515	928.751907276683	945.084520659934	791.810470920893	8.95444510262463
NSG2	422.959372891229	555.694020668562	513.023022775173	313.329057351672	400.291145937327	411.757912225664	8.94846731652965
YBX1	510.171209322742	506.410950448466	462.759850486509	381.42619903803	410.636094700459	451.879578288302	8.94437411868087
SF3B1	479.624313608123	495.147646192374	502.234197615874	433.456790992501	522.747148496154	502.234197615874	8.94323080402037
SRSF1	493.370096087104	467.25939384512	510.171209322742	377.814606213939	422.959372891229	458.565393108008	8.93648133238933
CHD4	478.938023216597	472.105127754692	515.805528387502	555.694020668562	557.062023430195	525.705485228515	8.93244764492405
HIST1H3B	522.747148496154	462.759850486509	477.085034477011	383.281246500076	394.316887668762	496.120362351535	8.92739732942796
SNHG16	503.548389231236	479.624313608123	472.105127754692	326.955764273467	376.687623063477	390.37907149285	8.92157064671339
ALCAM	437.726380016057	502.234197615874	506.410950448466	530.36874410909	709.07823244438	638.034367938713	8.91008892308731
TMPO	496.120362351535	475.948423006431	466.29585384025	378.356808275944	432.553820256387	455.828106468638	8.90476986135979
HSPA9	470.844260148329	486.40941847454	475.948423006431	294.496468693853	351.988556332956	374.010405850282	8.89993163932087
YWHAE	487.940998506627	498.382743350164	442.082232783353	494.176837184784	420.62642221094	470.253272426411	8.89328138240236
MCM4	472.105127754692	467.993433619701	482.676764410053	354.680694685631	367.943120905232	362.716665871522	8.88940746275379
RPL18A	489.29285146342	480.576272552315	453.426662384629	410.050644480417	467.993433619701	459.961905400077	8.88930047388057
RGS4	442.082232783353	478.938023216597	503.548389231236	711.427001590563	881.978246206554	921.815033905729	8.88928424085809
ANK2	416.335996718972	482.676764410053	529.142713221421	672.226596644603	678.090416344552	545.151989815058	8.88801037574188
MT-ND1	424.765580504227	525.705485228515	470.844260148329	785.07286137764	477.085034477011	336.225099621562	8.88258005557412
H3F3B	458.565393108008	493.370096087104	461.277137596884	385.056451721889	507.60374047226	513.023022775173	8.87900003841979
FSCN1	486.40941847454	465.389425456977	457.169176672041	450.462058293903	409.127023507415	486.40941847454	8.87496876706809
SERBP1	515.805528387502	450.462058293903	437.726380016057	349.056540361411	338.458464683912	335.702660018284	8.86661024419361
TRIB2	435.153661902638	461.277137596884	498.382743350164	522.747148496154	588.692783599254	606.764008493792	8.85866047038939
TPI1	461.277137596884	451.879578288302	478.938023216597	551.576866029512	519.146791953781	711.427001590563	8.85765989816951
RPL37	448.398471344106	477.085034477011	464.318407114582	359.629653310252	455.828106468638	430.900084955568	8.85523694531928
LRPPRC	467.626269703316	464.318407114582	449.881927287518	382.478402936331	354.351571386924	354.351571386924	8.84719514483829
SFPQ	480.576272552315	417.225192422171	480.576272552315	420.62642221094	448.398471344106	470.844260148329	8.84064189378547
DDB1	457.169176672041	449.139586855871	467.25939384512	388.185049532008	426.128250751496	457.169176672041	8.83856142027581
MKI67	494.176837184784	466.29585384025	416.335996718972	1126.80554520832	629.132225641622	443.12498334503	8.83852995412178
RPL8	482.676764410053	457.169176672041	433.456790992501	435.153661902638	388.185049532008	422.959372891229	8.83708075702535
CALR	406.932971866014	500.295194420715	467.993433619701	474.574511682634	549.128315292037	510.171209322742	8.83520921049465
RPS14	459.961905400077	474.574511682634	429.753373851094	365.427257504864	427.671996821084	419.464669648703	8.82774217810314
HNRNPDL	428.142267848863	449.139586855871	486.40941847454	328.960163686998	405.120644004807	400.291145937327	8.82633129683292
KIF21A	455.828106468638	453.426662384629	451.879578288302	393.492134317202	433.456790992501	414.986680903601	8.82562201316969
MT-ND4	391.805360868088	574.508126497906	413.340042556182	971.773915414934	499.574637740803	287.778112676406	8.82378737974912
TRIM28	470.253272426411	432.553820256387	455.828106468638	464.318407114582	430.900084955568	437.726380016057	8.8221253624292
USP22	443.12498334503	455.828106468638	458.565393108008	487.940998506627	479.624313608123	475.948423006431	8.82163320127112
XPO1	464.318407114582	458.565393108008	424.765580504227	373.382607764192	412.152091806013	381.42619903803	8.81015913114614
RPS5	446.950727845965	470.844260148329	428.142267848863	367.943120905232	442.082232783353	440.722184036993	8.80834152642321
HNRNPA2B1	446.320907075771	424.765580504227	474.574511682634	486.40941847454	466.29585384025	429.753373851094	8.80765048113317
CAPRIN1	465.389425456977	454.729896165378	424.03215817762	446.950727845965	429.753373851094	428.142267848863	8.80639684605051
SMARCA4	474.574511682634	405.746147045252	465.389425456977	549.128315292037	470.844260148329	448.398471344106	8.80573967114043
MAZ	449.881927287518	437.726380016057	450.462058293903	411.757912225664	421.152270073022	409.127023507415	8.80084996952261
BCAT1	477.085034477011	435.153661902638	421.152270073022	389.792657299098	396.687192122892	427.202242338517	8.79389396008741
G3BP1	466.29585384025	446.950727845965	417.225192422171	364.45373320121	374.785151202657	373.382607764192	8.79125207973992
KIF26A	462.759850486509	420.62642221094	443.12498334503	493.370096087104	504.766715582896	467.993433619701	8.78736180512578
XRCC6	429.753373851094	470.253272426411	426.128250751496	366.409444803143	393.492134317202	421.152270073022	8.78660107286745
NAP1L1	467.626269703316	446.320907075771	411.954954869442	401.132332527869	359.629653310252	371.094533242773	8.78583084357019
PRRC2B	451.879578288302	414.986680903601	454.729896165378	719.461207542632	519.98349911632	479.624313608123	8.78186060631169
MCM3	421.152270073022	442.082232783353	448.398471344106	354.351571386924	368.935754237995	376.042983789717	8.77166887511578
TFRC	424.03215817762	430.900084955568	440.722184036993	312.339216114178	313.928005195282	326.735675992176	8.75432171704728
CRMP1	432.553820256387	410.343265180317	446.320907075771	461.277137596884	443.12498334503	461.277137596884	8.74645362777442
SMARCC1	426.128250751496	422.959372891229	435.153661902638	406.932971866014	383.281246500076	370.147693775078	8.74163343303347
NACA	433.456790992501	443.12498334503	403.405076286355	300.663681516225	334.148919950471	364.113758800444	8.73579988726987
EEF1B2	427.202242338517	433.456790992501	410.636094700459	302.124082874307	357.007321196836	385.424840951667	8.72674547336335
HUWE1	430.900084955568	406.932971866014	430.900084955568	631.257522288857	449.881927287518	407.801879945237	8.72368883834846
SPTAN1	411.757912225664	397.912509753109	459.961905400077	678.090416344552	539.129843720991	480.576272552315	8.72244352606181
LDHA	453.426662384629	405.120644004807	407.801879945237	574.508126497906	384.455640587332	489.29285146342	8.71955260853843
MSH6	405.746147045252	428.142267848863	427.202242338517	336.990861142724	372.594126410433	357.922463071616	8.71505181830832
PRPF8	454.729896165378	400.291145937327	396.687192122892	723.421450286259	446.950727845965	351.58485927988	8.70187664972466
SF3B3	417.225192422171	398.874417000709	432.553820256387	376.042983789717	377.814606213939	389.792657299098	8.70040302875105
SEPT9	414.986680903601	409.127023507415	422.959372891229	413.340042556182	405.746147045252	417.225192422171	8.69923384280466
EIF3L	413.340042556182	411.954954869442	410.050644480417	346.588924505085	379.656724766934	410.636094700459	8.6857288004949
FTL	409.127023507415	440.722184036993	385.424840951667	335.702660018284	366.409444803143	361.51213841786	8.68347882567275
RPS27	418.774764298775	427.202242338517	386.506947663408	292.33202754197	363.649681407657	405.120644004807	8.68105221447724
RPL10A	405.120644004807	421.152270073022	405.120644004807	323.909963804297	382.478402936331	386.506947663408	8.68087123944777
UCHL1	378.356808275944	429.753373851094	419.464669648703	305.180663778862	395.623567960755	382.478402936331	8.67445808081412
PARP1	410.050644480417	403.405076286355	411.954954869442	387.568824494507	344.358355910305	346.26999292223	8.67402883581331
HIST1H1D	440.722184036993	385.424840951667	401.132332527869	386.506947663408	346.26999292223	433.456790992501	8.6739886336272
RPL14	410.636094700459	418.774764298775	395.623567960755	318.817383387575	347.171657279571	359.629653310252	8.6732439646174
CHGA	355.133551351057	386.506947663408	493.370096087104	145.082570869418	159.098997852979	174.429067642482	8.67103161903307
KIDINS220	384.455640587332	424.03215817762	414.986680903601	482.676764410053	502.234197615874	446.950727845965	8.67054147685408
RPL27A	403.405076286355	419.464669648703	393.492134317202	337.363586230113	357.922463071616	369.554630075065	8.66289396887112
HAND2-AS1	358.387787338038	391.805360868088	470.253272426411	263.684053613748	313.329057351672	268.861838644794	8.65888838866488
RPL12	407.801879945237	413.340042556182	389.183996553685	300.019067169516	353.369887926283	365.427257504864	8.65573950493969
RPL38	400.291145937327	416.335996718972	387.568824494507	315.050681911477	358.853716558594	361.925686191922	8.64827303390306
STMN1	398.874417000709	426.128250751496	376.936649698125	308.459082771428	370.147693775078	383.281246500076	8.64437097997082
YWHAZ	420.62642221094	410.343265180317	366.096123311215	437.726380016057	424.03215817762	424.398710908478	8.63772060624889
CCNI	450.462058293903	391.805360868088	352.98812578678	598.535483376915	406.932971866014	432.553820256387	8.63091031841717
NOL10	371.094533242773	395.623567960755	420.62642221094	361.925686191922	397.912509753109	354.680694685631	8.62667438923258
HIST1H4E	419.464669648703	377.185840963255	388.185049532008	376.687623063477	386.506947663408	446.320907075771	8.62404598221126
SUPT16H	388.185049532008	396.687192122892	392.209164328988	326.256575883873	327.827664943467	331.145386761864	8.61597939615162
CKAP5	401.132332527869	376.687623063477	397.912509753109	421.152270073022	387.568824494507	387.568824494507	8.61382223759049
NREP	390.37907149285	389.183996553685	389.792657299098	362.716665871522	411.757912225664	426.128250751496	8.60653452716357
PAICS	412.152091806013	376.042983789717	376.936649698125	310.146627000024	297.665116790124	328.960163686998	8.5999883471063
RPS20	395.623567960755	388.185049532008	376.042983789717	306.509309058093	342.283674487714	368.935754237995	8.59444635886367
SLIT3	373.382607764192	368.935754237995	418.774764298775	426.128250751496	381.101455829678	344.224490960382	8.59392247146248
SRSF2	361.925686191922	355.641673458647	446.950727845965	326.735675992176	385.240602302409	416.335996718972	8.59260075101075
BAZ1B	393.492134317202	363.649681407657	400.291145937327	390.37907149285	361.51213841786	377.185840963255	8.59050079469344
PANK3	397.912509753109	360.818043674967	398.874417000709	329.482294255818	376.042983789717	392.209164328988	8.59040863541659
RPL18	387.568824494507	387.568824494507	379.656724766934	350.369591674132	372.594126410433	377.814606213939	8.58838972861298
HSP90B1	367.943120905232	401.132332527869	385.056451721889	501.016790388631	489.29285146342	467.25939384512	8.58673318587233
ZNF704	379.656724766934	364.113758800444	406.932971866014	185.348756881431	198.334092313802	182.536578109687	8.58181485627841
BIRC6	377.185840963255	364.45373320121	405.746147045252	416.335996718972	435.153661902638	403.405076286355	8.57771905434677
PRRC2A	389.183996553685	341.806031030752	409.127023507415	557.062023430195	419.464669648703	398.874417000709	8.56591588068343
H2AFZ	371.807310112389	407.801879945237	358.853716558594	259.575756677304	327.48703219131	349.056540361411	8.56579599775356
DOK4	374.785151202657	393.492134317202	367.943120905232	187.910625158266	218.621983089845	190.244300995793	8.56448330803489
HIST1H4C	391.805360868088	394.316887668762	351.181625228536	293.563876199228	354.680694685631	396.687192122892	8.56442618895714
YWHAG	389.792657299098	380.776989105089	364.113758800444	360.818043674967	345.762911966817	366.096123311215	8.56253701256902
TOMM20	381.42619903803	381.42619903803	371.094533242773	272.042353969732	306.509309058093	315.050681911477	8.56205440018742
MAP2	382.478402936331	366.409444803143	384.455640587332	410.636094700459	401.132332527869	397.912509753109	8.56107356466254
CCT7	386.506947663408	385.056451721889	357.922463071616	322.334857158986	336.225099621562	348.422970361371	8.55559332534514
ILF2	376.042983789717	390.37907149285	360.818043674967	301.135176457712	364.113758800444	367.943120905232	8.55287111531274
WHSC1	383.281246500076	357.922463071616	382.478402936331	430.900084955568	360.818043674967	340.010535905436	8.54833245204228
RBFOX2	369.554630075065	371.807310112389	377.814606213939	470.844260148329	486.40941847454	465.389425456977	8.5431966102848
KPNA2	394.316887668762	359.629653310252	365.427257504864	335.180785888089	321.342036406597	374.785151202657	8.54234010047957
TOP2B	396.687192122892	362.716665871522	359.629653310252	405.433274896673	389.792657299098	371.807310112389	8.54164180178197
HMGB2	365.427257504864	377.814606213939	371.807310112389	270.859205224961	348.422970361371	364.45373320121	8.53779547715661
RPL29	385.424840951667	370.147693775078	357.007321196836	275.30028712591	350.369591674132	346.588924505085	8.53402427559099
HDGF	362.716665871522	382.478402936331	366.409444803143	357.922463071616	361.925686191922	352.98812578678	8.53308219422001
SRSF3	377.814606213939	374.010405850282	355.387521592701	304.419661470699	356.041004418427	357.007321196836	8.52723949412312
