	C1	C2	C3	RA1	RA2	RA3	med
MAPK12	36.5805602598987	38.0059694497041	44.4632070662121	46.6410436972711	52.7340024413137	42.7870126504944	5.30523316745828
MRPL28	40.0922166827562	40.6913935806522	37.866919053133	34.2631285154668	34.6920351272423	40.0618533810911	5.3049227350532
NLGN4Y	38.3868241118928	38.7748006323576	41.4802214712096	46.221012578286	43.5157051376132	44.7857179374453	5.30464615018116
IFT172	37.3989124818168	37.3989124818168	44.0724729268204	44.9617120599569	37.9065963089391	36.5205844160023	5.30388492379709
ZNF253	41.2465410350366	35.6609142197943	41.8891923671511	36.6358315435142	37.2252216689286	38.3768598797963	5.30365972722327
RUNDC3A	37.3290751031003	39.7887862792956	41.4802214712096	45.9713723725368	47.1398679289413	47.8285909856027	5.30362317897349
MRAS	40.2314535486534	39.8789456251209	38.3367372697014	43.2157921120637	44.7015384807438	42.4627721993933	5.30282099082879
PRMT6	42.7371125315999	39.4851541171981	36.4313378322812	30.3701061385926	28.6886546779689	29.1715004654236	5.30258800620898
UAP1	42.8367045515049	41.1813314573144	34.8407516456229	31.4279743282376	32.7267621694789	36.7005115921434	5.30246600190967
KLHL12	40.1813201686463	42.143746669111	36.2712932126098	37.7369776705978	38.7053052611499	41.281910791395	5.30215200403526
EXOC1	38.3318074497535	39.3750823135574	40.6913935806522	35.8315565984682	41.2465410350366	39.783605783974	5.3021109803054
RAP1B	41.1813314573144	41.4802214712096	35.8864489618662	34.5523334955041	32.9765474841641	35.2361842499828	5.30121250985533
ANKRD13A	38.2471567689589	40.4965558486187	39.5704393020027	39.3750823135574	43.6936758357063	48.278648275592	5.30111969520416
RPRD1B	41.1813314573144	37.9015984047712	39.1898073297031	41.281910791395	35.0254112697764	41.0617530897512	5.30017064396445
C10orf137	36.5805602598987	36.0814959901477	46.3311152903606	34.601836829318	38.1266804388511	39.3750823135574	5.3000340078429
TMEM41B	41.9643410305047	38.4666297781201	37.866919053133	48.7297800017878	49.8662728590761	52.3739428729672	5.29983123008903
MEN1	41.9095096126126	33.4548797523932	43.5157051376132	44.1616849228781	35.1907928841354	39.3750823135574	5.29893825267401
YIF1A	37.9463180295663	39.4851541171981	40.6913935806522	33.4548797523932	43.1558110065899	42.143746669111	5.29859273413065
STARD3NL	37.9463180295663	40.1317079008867	40.003020170005	36.2254315925767	44.007486046745	47.2445095439502	5.29819855705467
DCAF15	36.350554208984	38.4666297781201	43.5157051376132	43.6345404029596	50.9386289050021	46.1407507294109	5.2976350844863
PFDN1	39.3647327038192	42.4774372200304	36.350554208984	35.5015788484658	37.3989124818168	39.4748082081126	5.29712068455765
PDE4DIP	41.7592462895052	36.5107046399404	39.8640608943829	54.7616490959773	43.7533543902319	43.5058139675665	5.29709605099982
DNAJB5	36.9493817322744	44.4632070662121	36.9701933779949	53.6353570095177	49.075772313557	47.179588519493	5.29676970341382
MOAP1	36.2510711755446	44.0724729268204	38.0160961505317	32.5273841427255	37.6124951424767	42.0086656783297	5.29676538320765
CRHR1-IT1	38.7649505604838	38.2372903522961	40.9714390385006	40.1218584187534	37.9065963089391	36.486150150505	5.29671198894815
ARFRP1	35.9562150550039	37.2152916368725	45.381136808508	46.5704128792466	52.9539540440359	48.1937513087897	5.29667124620714
CMTM6	39.9331801182864	41.4306245868514	36.7005115921434	42.5775570804468	51.1299532917334	51.4856074908851	5.29662333177762
MOGS	38.1266804388511	35.9461140205809	44.3035660210822	36.4313378322812	37.4489644715756	39.8187156387207	5.29661461767558
SIAH1	41.8296769266441	39.063937282932	37.1506710638015	35.4416017215193	40.2314535486534	41.6496830454785	5.29651225921672
MRPL48	40.9714390385006	43.8633182295578	33.754174657445	29.7349370172855	35.6709046729059	32.1274809749811	5.29616124944089
GLRX5	45.4813431456399	40.8602102075232	32.5869614337934	35.785922224411	34.0937456298439	37.1901895157082	5.29535020182529
BUD31	40.1317079008867	40.9461168453397	36.8298614253056	32.3821045916167	36.3307769589288	39.1645728226106	5.29504314925572
NOL4	40.8306329185368	39.1898073297031	37.7870368772329	31.6375846930405	35.2314864042773	31.038847115846	5.2946020293351
FAM216A	38.6553294393571	41.0121303858564	38.0719289605903	30.070458429397	30.773611613702	31.6872968127687	5.29374332413683
LYRM4	37.6571472759725	44.0724729268204	36.350554208984	25.8588559094002	31.3679967502267	28.0948863728431	5.29352106875893
SLC25A25	40.5765893173707	38.0059694497041	39.063937282932	40.2616866981291	37.7369776705978	42.2287540780653	5.29283176339896
SMAP1	40.2314535486534	41.7195803030936	35.8864489618662	39.4251772394976	37.0301686430562	40.5114855164128	5.29275732156759
SSX2IP	40.7805018962536	36.9701933779949	39.9237940126209	29.1715004654236	32.1076349368323	33.1059123514767	5.29242507799654
LRRC16B	35.6761569608964	35.0151643207563	48.1789474509537	39.3750823135574	39.0342084802143	36.5205844160023	5.29237574491062
ZEB2	41.7592462895052	40.003020170005	36.0110260153881	45.9713723725368	42.2287540780653	36.3108858680283	5.29214252937359
ELK1	41.1166763777882	38.5652707933662	37.9065963089391	33.6692076477569	31.1880631418338	31.9365918139505	5.29175303227707
SRP54	39.4851541171981	40.4965558486187	37.5475497413672	29.1715004654236	39.8841876828055	37.5271555189236	5.29120419505212
ZNF268	38.7649505604838	39.4350594764855	39.2547190519937	31.2480411578571	35.2815133017617	39.3750823135574	5.29096067596457
ZNRF3	38.2971433458176	38.6553294393571	40.5214177343569	34.4319980664093	31.9365918139505	28.7035902226188	5.29079101729103
C5orf30	40.5765893173707	38.9340039943368	37.9564450369167	27.3260978114398	29.1318656562122	33.6145138319529	5.290602495221
GUSB	33.0563886289521	42.0889705142005	43.0749699582634	44.0824002788754	47.5787557310449	41.4854512801144	5.29033513920268
SLIRP	40.0922166827562	42.6375372346642	35.0306707368055	25.7090344528105	34.2031505126186	33.864191393093	5.28994973066253
SCFD1	39.3647327038192	39.5800816569285	38.4066545813553	34.4319980664093	41.0568228189768	36.2410860277141	5.28960628619343
DSCR3	37.4835449376963	38.8745401309727	41.0568228189768	44.6822294848314	47.8083230760337	49.3387143262577	5.28949642736445
KIF13A	41.7096196112376	39.5800816569285	36.2306011167127	43.1404041290457	41.9194892569853	40.4613249619256	5.28938259026392
MVB12B	37.0406306227886	41.2413096888584	39.1397877227229	34.5523334955041	34.1536883350865	30.5694220520594	5.28920634190697
PIGW	41.545699748688	39.063937282932	36.8298614253056	25.0360767500245	25.429789064402	21.6771228953048	5.28906559229558
PSME1	38.4363491747682	43.1558110065899	36.0110260153881	27.4364302646366	32.6464075136357	34.4819984947605	5.28874971123499
HBS1L	40.2716074756599	38.4066545813553	38.5855013082719	35.3766777166879	36.8502106476989	39.3750823135574	5.28832083239804
DERL2	36.0417334599263	41.9144991377857	39.4251772394976	36.5805602598987	38.9736395967184	44.4428349266906	5.28733977196529
CAMLG	39.9186121316386	40.3315216215926	36.9701933779949	29.980208031693	39.7245972923747	33.3056773360689	5.28703875790186
TOMM34	43.3450865440325	41.0811231839454	33.4204115817403	25.2662203009687	29.2706005326705	30.4296095187013	5.28695262510782
MAFG	41.6496830454785	37.0250000789917	38.5855013082719	43.2157921120637	41.1708540780413	44.9667147546654	5.28688279650918
AP5M1	42.3337963212836	37.63676001654	37.2299221208184	33.2854131623795	36.6454850691614	39.5154071212048	5.28539973017479
ZDHHC9	40.003020170005	41.5407399555996	35.6814100222493	38.7153079263003	30.773611613702	30.9788699970465	5.28519758410845
ECD	37.6571472759725	41.569886300615	37.866919053133	37.8071485803063	34.6920351272423	37.9065963089391	5.28506161462037
DHX34	40.0922166827562	36.170624386643	40.8602102075232	35.1512050937311	33.1263104528389	32.5373328789287	5.28487386629546
CARS2	37.7369776705978	39.5800816569285	39.6348673168591	39.5800816569285	42.9660476386367	41.2363146768196	5.28443596777065
ATP6V0D1	38.6553294393571	42.2037262680641	36.2712932126098	37.9665747469346	42.0586732788197	41.6892115621753	5.28421672848141
BARD1	44.4681741905688	36.8796737254299	36.0814959901477	31.3080190270429	32.7762912350356	37.5871341147389	5.28421416785782
CCNJ	42.3337963212836	37.1306331708357	37.63676001654	43.0253787130635	38.4666297781201	39.1947408998838	5.28411550307059
SLC27A4	36.1409432928214	42.2037262680641	38.7698752836008	38.2174624564398	41.0568228189768	40.4116592826094	5.28390830800015
COG1	35.0812642842649	39.5800816569285	42.5725949495719	47.0104246328967	43.6936758357063	42.8814954117695	5.28372821506975
ZHX3	39.6447427060438	39.4350594764855	37.7463521543792	40.5416274465217	35.2815133017617	32.0570472536962	5.28290996451865
THAP11	43.275773103133	40.003020170005	34.0232850164616	34.4319980664093	34.3374426751888	37.3593103047161	5.28199174864536
RBBP5	42.8867354072533	39.2453200993739	34.9805541617999	40.8306329185368	36.6454850691614	38.590730051378	5.28179651877991
MED29	37.3989124818168	40.7805018962536	38.5855013082719	35.941179416683	37.7369776705978	38.3768598797963	5.28157299469768
APPL2	35.8110297985277	36.8796737254299	44.4632070662121	47.7283641555565	48.278648275592	46.9811934458392	5.28054206487481
SREBF1	35.9562150550039	36.5107046399404	44.7015384807438	108.666063223342	103.707384587926	104.457761167432	5.28022314838537
RLF	43.8979628724161	36.5107046399404	36.5805602598987	45.5516438307723	39.0342084802143	46.5349871980685	5.27977831998957
FNBP1	40.6517305650558	38.9340039943368	37.0301686430562	57.3727485371253	45.3712571136984	42.4627721993933	5.27961096475327
SMIM7	37.9463180295663	39.9331801182864	38.6657895496788	32.6563198914377	34.5214834546696	33.9690708570168	5.27946327695431
ALAS1	38.9935242149566	38.5161503370402	39.003907261762	36.1607531759147	39.7245972923747	41.4306245868514	5.279367001402
PIM3	40.9714390385006	38.7748006323576	36.8298614253056	35.64657640035	35.2815133017617	40.9213150070973	5.27879939417327
AAR2	39.8087892236033	41.0811231839454	35.7259447663143	42.1489499229321	38.5362570959931	35.6814100222493	5.2781063558367
MRPS18B	35.6109268581064	41.9144991377857	39.1397877227229	23.1950554600649	31.3080190270429	31.7967981269578	5.27806319723366
TBRG1	39.184874380527	37.3989124818168	39.8640608943829	36.5107046399404	38.9736395967184	39.0743726638523	5.2780553861259
CRLS1	41.9643410305047	36.300900746654	38.3367372697014	28.4651744823413	34.4319980664093	38.3174993612702	5.27789370540473
MPV17	35.6761569608964	39.1046245440238	41.8244511555519	29.824627086738	37.8167997683726	31.6872968127687	5.27747678048034
ZNF85	39.8087892236033	38.9987153928105	37.5475497413672	36.8898375942193	40.6913935806522	36.486150150505	5.27700554813664
SLU7	39.3048301759854	41.4306245868514	35.7809852125684	34.3423850934906	35.2314864042773	34.9007318722095	5.27679386090307
SDE2	40.4014987554628	39.6646201472085	36.350554208984	29.450011658969	36.4313378322812	35.6214331085556	5.27667439683602
FAM98A	40.880832486046	37.6823621716319	37.7870368772329	37.9015984047712	32.3166361028279	32.8759354613622	5.27632988571078
ANO8	38.197025179755	33.375048232619	45.6302495004166	47.7283641555565	41.0568228189768	40.1813201686463	5.27600167762383
FHOD3	37.1157082458586	39.7245972923747	39.4251772394976	23.8548069903613	22.1074735970978	24.3131315939504	5.275654672856
LCORL	40.5765893173707	38.2372903522961	37.4588886724876	28.3397984904693	35.1264227638517	33.5544392963509	5.27557342624504
CRCP	38.4363491747682	40.5515361925828	37.2794356287545	46.7103521409084	48.6597898075037	52.3739428729672	5.27546406081305
ELP6	35.9562150550039	39.9331801182864	40.3466095107687	36.3713628708748	37.9065963089391	39.913430923235	5.27402028590814
CHPF2	35.3007947238195	38.0667025294679	43.0749699582634	45.4667355311954	46.7849401323406	44.1616849228781	5.27362144736864
FTSJ2	40.2716074756599	36.5805602598987	39.2547190519937	30.748867159037	32.277061952317	35.0965963975655	5.27316353848786
DESI1	41.1166763777882	38.3221885255851	36.7005115921434	39.7989098791576	33.2462611902266	34.0232850164616	5.27316268758685
FOXRED1	38.3868241118928	40.2314535486534	37.3989124818168	35.6912899663169	35.7410731999468	36.5805602598987	5.27257189063096
BRSK1	38.5459098697185	38.0667025294679	39.3495913735136	45.7857138179336	43.9174793450599	51.1351057036323	5.27241344193979
GPALPP1	39.8841876828055	39.2998450992258	36.8298614253056	26.1224158046489	27.97592294585	33.1059123514767	5.27233359158919
COPS7B	39.6447427060438	36.0814959901477	40.3466095107687	42.3536417799743	37.9065963089391	36.1409432928214	5.27220681547364
PPFIBP1	39.8087892236033	37.7463521543792	38.3367372697014	47.9586770496113	40.6317052577551	43.9728125466359	5.27131202123894
RPF1	38.9340039943368	43.5559051688768	33.9137957458713	26.7814039656212	33.8840356965039	32.7267621694789	5.27051853240509
CXXC4	41.3904074921062	40.2314535486534	34.4819984947605	38.8990814721447	35.4416017215193	34.7166035797047	5.26974933058972
GADD45GIP1	40.7805018962536	41.2912983791192	34.0937456298439	33.6692076477569	30.549622730716	32.1720364196889	5.269669568711
RRAGA	39.184874380527	41.1813314573144	35.516380034051	44.022416714233	37.2252216689286	41.9288556954526	5.26885205871955
RASAL2	41.2962496718171	38.3221885255851	36.170624386643	40.9612530061797	42.1681732310682	37.0095960048345	5.26826450321637
SLC29A4	35.6109268581064	39.6646201472085	40.5214177343569	37.1506710638015	38.7053052611499	37.3989124818168	5.26821388476817
COQ9	36.350554208984	39.9331801182864	39.4251772394976	33.8740946537565	38.2273751188185	38.7153079263003	5.26815561747607
WNK3	41.9643410305047	39.6646201472085	34.3769574875427	36.5107046399404	33.8840356965039	35.7562577025448	5.26808093646572
HPS5	38.9935242149566	38.8745401309727	37.7463521543792	31.9365918139505	35.936187931692	38.5459098697185	5.26806055729636
MRPL10	38.8692985010187	40.7805018962536	36.0814959901477	36.710378649363	36.5205844160023	39.2948606547292	5.2678513474824
HAUS3	41.1813314573144	33.9890969585657	40.8602102075232	36.1607531759147	32.9265301021695	34.4319980664093	5.26784780605233
WDR83OS	38.4363491747682	41.6496830454785	35.7259447663143	30.4296095187013	35.4416017215193	38.8046249529808	5.2678444250573
SAP130	38.9340039943368	39.8789456251209	36.8298614253056	48.1280288451573	42.4674530987317	38.9835578170919	5.26777274660348
PGP	38.1266804388511	37.9463180295663	39.5049214066664	33.8141521607179	37.9812072769478	37.9065963089391	5.26752583601272
FBXO5	42.0738191693912	35.7106734086545	38.0160961505317	34.2631285154668	31.736819477835	40.003020170005	5.26722426542435
LRRC45	37.5871341147389	32.9215506633677	46.1407507294109	32.746056985811	35.3717316578332	35.020152592398	5.2670323240637
BRPF3	37.3989124818168	34.5419776308106	44.1924395127132	63.5827253017615	46.0306461124968	43.1354661778222	5.26697695341578
TRAF5	38.8692985010187	34.3423850934906	42.7667603937383	38.8990814721447	36.1205151804681	38.7153079263003	5.26696517344689
RALA	42.1385440576273	37.0250000789917	36.5805602598987	41.7344540570123	29.1913315597627	35.4416017215193	5.26683388750325
ATN1	41.0568228189768	34.4220192208789	40.3466095107687	129.453678967463	51.0136948854123	42.143746669111	5.26639514866841
ACVR2A	36.300900746654	39.7245972923747	39.5049214066664	34.3423850934906	39.8137261364227	37.2547032977684	5.26595153897934
TCEB3	39.3048301759854	36.8796737254299	39.1397877227229	41.0121303858564	39.3495913735136	41.9288556954526	5.26398424158721
HMOX2	37.5871341147389	40.6021289937188	37.1506710638015	33.6692076477569	32.7762912350356	34.5523334955041	5.26365561752175
ERCC2	36.0417334599263	37.7463521543792	41.6496830454785	44.821465177247	40.1413401671217	38.4760038822849	5.26336514319572
CWF19L1	36.1755579790055	40.1317079008867	39.003907261762	29.450011658969	32.6464075136357	33.5054544321189	5.26305358787955
AKAP6	36.4313378322812	39.9331801182864	38.8845092417783	42.2583770464774	40.0079445286427	39.0743726638523	5.26258258571513
ZNF337	36.6609138620471	36.300900746654	42.4427603676185	38.7153079263003	38.7053052611499	38.202252279817	5.26185028962411
LMBRD2	38.3868241118928	38.1266804388511	38.5855013082719	40.5969398906583	46.1058698156378	48.8195003311484	5.26175175521625
OGFOD3	36.8400346314722	37.1306331708357	41.1813314573144	38.3967909311191	39.7245972923747	36.0814959901477	5.26055303153737
DRG2	34.4871763621318	38.6553294393571	42.2334339428914	37.4884721217457	42.6821199836508	39.8187156387207	5.26029906213821
INSIG1	34.5523334955041	38.1266804388511	42.6821199836508	37.0301686430562	38.4666297781201	53.5013965618749	5.25966673080894
TSPYL5	37.6571472759725	40.003020170005	37.2299221208184	39.4251772394976	40.9213150070973	35.9262564447981	5.25842650697468
SQSTM1	36.350554208984	38.8345372978286	39.7245972923747	44.4681741905688	51.8145701012652	53.9616190007173	5.25837817191794
PLEKHM2	37.2100621981886	40.3570367415041	37.3290751031003	49.9359360356589	44.821465177247	40.711755794858	5.25819903240279
PPP1R12B	37.0406306227886	36.5805602598987	41.3512763768945	54.4321745900037	48.2088335670704	41.8296769266441	5.25796732604897
FBXO8	41.2465410350366	34.6920351272423	39.1397877227229	23.8548069903613	28.3541434305901	29.2909493367052	5.25776594350391
CCDC25	36.8947723605172	40.8602102075232	37.1506710638015	28.0645948101084	34.0138824207461	35.5609542819236	5.25776186538837
RAB11FIP3	37.3989124818168	35.8315565984682	41.7592462895052	47.7283641555565	46.1709731256244	42.5422995704673	5.25736899836107
SCFD2	39.8841876828055	38.5652707933662	36.350554208984	23.2800545061142	25.1913096835671	26.1625244180934	5.25696026023867
AMER3	37.6571472759725	37.8466177482345	39.1397877227229	58.1463124410559	60.3824382314244	60.1624769004057	5.25583610156889
GRAMD1A	38.061769371929	35.6609142197943	41.0568228189768	62.6745207717504	55.6509098065242	49.1505450393252	5.25536419735951
GRID1	34.2031505126186	38.8345372978286	41.924172214645	17.3468047580383	13.0574630814995	14.5899501120453	5.25501202672239
RNF41	37.244745978528	41.6496830454785	35.8864489618662	36.2712932126098	39.1947408998838	39.4748082081126	5.25485529885003
