Gene,pval,qval
Skint10,2.63E-54,4.50E-50
Reg3g,1.33E-51,1.14E-47
Calcb,1.61E-49,9.22E-46
Alox12e,1.47E-46,6.28E-43
Ubd,1.43E-45,4.92E-42
Srgn,6.25E-44,1.79E-40
Skint2,1.83E-43,4.48E-40
S100a8,2.38E-43,5.10E-40
Cd52,3.06E-42,5.83E-39
Dio1,1.91E-41,3.27E-38
Csn2,8.18E-41,1.27E-37
Ly6a,7.61E-39,1.09E-35
Iapp,6.37E-38,7.92E-35
Vmo1,6.47E-38,7.92E-35
Skint1,1.33E-37,1.52E-34
AW112010,1.70E-37,1.83E-34
Ang4,3.04E-37,3.06E-34
Cdx1,4.43E-37,4.22E-34
Ctss,1.61E-36,1.38E-33
Cadps,1.61E-36,1.38E-33
Prg2,2.81E-36,2.30E-33
Reg3b,7.73E-36,6.02E-33
Wfdc18,1.19E-35,8.85E-33
Rarres1,1.48E-35,1.06E-32
Tnfrsf11b,1.76E-35,1.21E-32
Serpinb2,1.12E-34,7.36E-32
Skint4,1.32E-34,8.40E-32
Cldn13,1.38E-34,8.42E-32
Gm29461,2.00E-34,1.18E-31
Hmga2,3.50E-33,2.00E-30
Msln,3.86E-33,2.13E-30
Lypd8,1.04E-32,5.43E-30
Tff3,1.05E-32,5.43E-30
Rac2,1.56E-32,7.85E-30
1600012P17Rik,1.73E-32,7.99E-30
Gp2,1.73E-32,7.99E-30
Gcnt1,1.69E-32,7.99E-30
Cdh17,2.33E-32,1.05E-29
H2-Eb2,2.89E-32,1.27E-29
H2-DMb2,3.16E-32,1.36E-29
Apoa1,3.85E-32,1.61E-29
H2-Q6,3.95E-32,1.61E-29
Ccl20,4.34E-32,1.73E-29
Htr7,5.61E-32,2.19E-29
Lyz2,7.88E-32,2.94E-29
Lyz1,7.78E-32,2.94E-29
Ly6g,1.15E-31,4.19E-29
S100a9,1.75E-31,6.24E-29
Ly6d,2.24E-31,7.83E-29
Slc6a20a,4.53E-31,1.55E-28
Spink3,6.56E-31,2.21E-28
Rgs5,7.54E-31,2.49E-28
Chil4,8.20E-31,2.65E-28
Il4i1,1.11E-30,3.51E-28
Wfdc21,1.41E-30,4.40E-28
Ifi27l2a,1.50E-30,4.60E-28
Laptm5,1.68E-30,5.04E-28
Bcl2a1d,2.14E-30,6.31E-28
Nts,2.40E-30,6.98E-28
Slc2a6,2.91E-30,8.32E-28
Saa3,3.09E-30,8.70E-28
Wfdc17,3.18E-30,8.78E-28
Fgf21,3.32E-30,9.03E-28
Pmaip1,4.68E-30,1.25E-27
Dpp10,1.45E-29,3.81E-27
Gm14275,1.62E-29,4.22E-27
Fabp4,2.49E-29,6.38E-27
Kynu,2.60E-29,6.56E-27
Igkc,2.68E-29,6.65E-27
Serpina7,3.98E-29,9.76E-27
Prss29,4.05E-29,9.77E-27
Saa1,4.63E-29,1.10E-26
Ly6c1,5.00E-29,1.17E-26
Pglyrp1,5.12E-29,1.19E-26
Tspan1,6.93E-29,1.58E-26
Cyp2a5,7.76E-29,1.75E-26
Ccl2,8.35E-29,1.86E-26
Cxcl11,9.33E-29,2.05E-26
Gatm,1.06E-28,2.27E-26
Skint9,1.06E-28,2.27E-26
Marc1,1.25E-28,2.65E-26
Fabp6,1.31E-28,2.74E-26
Tnfrsf9,3.16E-28,6.52E-26
Aoc1,3.93E-28,8.03E-26
Myog,4.13E-28,8.33E-26
Ucma,4.78E-28,9.53E-26
Cxcl13,6.05E-28,1.18E-25
Klk7,6.07E-28,1.18E-25
Hdc,6.73E-28,1.30E-25
Ccl9,7.76E-28,1.48E-25
Cxcl10,8.09E-28,1.52E-25
H2-Ob,8.44E-28,1.57E-25
Has2,1.04E-27,1.91E-25
S100g,1.06E-27,1.93E-25
Casp1,1.60E-27,2.89E-25
Clca2,3.16E-27,5.65E-25
Hnf1a,3.50E-27,6.19E-25
Car8,7.03E-27,1.23E-24
Psmb8,8.39E-27,1.45E-24
Ly6c2,1.42E-26,2.44E-24
Ces2g,1.70E-26,2.88E-24
Usp18,1.79E-26,3.02E-24
Reg1,1.95E-26,3.25E-24
Ltb,2.04E-26,3.36E-24
Gdf3,2.10E-26,3.43E-24
Plek,2.17E-26,3.50E-24
Rnf183,3.03E-26,4.85E-24
Zg16,3.32E-26,5.27E-24
Lgals9,3.48E-26,5.47E-24
Slpi,3.88E-26,6.04E-24
H2-Q10,4.39E-26,6.79E-24
Olfm4,4.68E-26,7.16E-24
Irf7,5.64E-26,8.56E-24
Fcgbp,7.36E-26,1.11E-23
Ccl6,8.94E-26,1.33E-23
Ccl8,1.01E-25,1.49E-23
Emr1,1.33E-25,1.95E-23
Extl1,1.36E-25,1.98E-23
Cryaa,1.57E-25,2.26E-23
S1pr1,1.58E-25,2.26E-23
Gm13391,1.77E-25,2.51E-23
Muc1,2.17E-25,3.05E-23
Bcl2a1b,2.42E-25,3.37E-23
Ascl1,2.48E-25,3.42E-23
Gstt1,2.56E-25,3.52E-23
Adam8,2.95E-25,4.01E-23
Agr2,3.64E-25,4.91E-23
Plb1,3.87E-25,5.18E-23
Coch,4.49E-25,5.97E-23
A630095E13Rik,4.88E-25,6.43E-23
Utf1,7.96E-25,1.04E-22
Psors1c2,8.46E-25,1.10E-22
Lefty2,9.88E-25,1.27E-22
Gm5960,1.04E-24,1.33E-22
Tff1,1.06E-24,1.35E-22
Igfals,1.09E-24,1.37E-22
Pou2af1,1.23E-24,1.53E-22
Ckmt1,1.28E-24,1.58E-22
2210407C18Rik,1.28E-24,1.58E-22
Ostn,1.66E-24,2.03E-22
Prg3,1.71E-24,2.07E-22
Cdhr1,1.76E-24,2.12E-22
Retnla,1.93E-24,2.31E-22
Prss34,2.12E-24,2.52E-22
Ncf1,2.37E-24,2.80E-22
Orm1,2.47E-24,2.90E-22
Lgals4,2.53E-24,2.95E-22
Cxcl9,2.68E-24,3.11E-22
Mep1a,2.78E-24,3.19E-22
Clrn3,2.90E-24,3.31E-22
Smim24,3.04E-24,3.45E-22
Gnat3,3.27E-24,3.69E-22
Qrfpr,3.50E-24,3.93E-22
Tnni1,4.15E-24,4.62E-22
Pla1a,4.68E-24,5.18E-22
Tac2,5.13E-24,5.64E-22
Defb6,5.25E-24,5.73E-22
1700019G17Rik,6.18E-24,6.66E-22
Fut1,6.14E-24,6.66E-22
Spt1,6.42E-24,6.88E-22
Dnmt3l,8.53E-24,9.08E-22
Bcl2l15,1.05E-23,1.11E-21
Cd177,1.23E-23,1.29E-21
Fam115c,1.33E-23,1.39E-21
Gm20496,1.36E-23,1.41E-21
Ccr4,1.43E-23,1.47E-21
Fndc7,1.45E-23,1.49E-21
Gnb3,1.64E-23,1.67E-21
Serpinc1,1.70E-23,1.72E-21
Bpifc,1.83E-23,1.85E-21
Blnk,2.01E-23,2.02E-21
Fam25c,2.25E-23,2.24E-21
Pomc,2.44E-23,2.41E-21
Serpini1,2.55E-23,2.51E-21
Gpr183,2.62E-23,2.57E-21
Ceacam15,2.69E-23,2.62E-21
Krt76,2.75E-23,2.66E-21
Gm15318,2.91E-23,2.80E-21
Casp4,3.74E-23,3.59E-21
Prss2,3.94E-23,3.75E-21
Lpo,4.22E-23,4.00E-21
Prap1,4.26E-23,4.01E-21
Calm4,4.99E-23,4.68E-21
Irf4,5.65E-23,5.27E-21
Dcpp1,6.07E-23,5.62E-21
I830127L07Rik,6.11E-23,5.63E-21
Rnase1,6.38E-23,5.85E-21
Slc30a2,6.65E-23,6.03E-21
Rsad2,6.63E-23,6.03E-21
Prokr2,6.77E-23,6.05E-21
Ccr7,6.75E-23,6.05E-21
Dsg1b,6.74E-23,6.05E-21
Gda,7.45E-23,6.62E-21
Ccl11,7.52E-23,6.65E-21
Aldob,8.62E-23,7.58E-21
Trim30a,8.68E-23,7.59E-21
Pdyn,8.74E-23,7.60E-21
Gm17120,9.86E-23,8.54E-21
Ipcef1,1.01E-22,8.74E-21
Crisp1,1.07E-22,9.14E-21
Myo3b,1.09E-22,9.33E-21
Cga,1.26E-22,1.07E-20
Ifit3,1.32E-22,1.11E-20
Sh3tc2,1.54E-22,1.30E-20
Chil3,1.73E-22,1.45E-20
Ccl22,1.89E-22,1.56E-20
Ly6i,1.89E-22,1.56E-20
Pth,1.96E-22,1.61E-20
Hic1,1.98E-22,1.63E-20
Msn,2.06E-22,1.69E-20
Hepacam2,2.15E-22,1.75E-20
Stat5a,2.47E-22,2.00E-20
Pyy,2.76E-22,2.22E-20
Cnnm1,2.81E-22,2.25E-20
Bcl2a1a,3.18E-22,2.53E-20
Cdkn2b,3.56E-22,2.83E-20
Irs4,3.69E-22,2.91E-20
Serpinb7,3.81E-22,3.00E-20
Dsg1a,3.87E-22,3.03E-20
Etv5,4.22E-22,3.29E-20
Stkld1,4.27E-22,3.31E-20
Gal,4.54E-22,3.50E-20
Liph,5.77E-22,4.43E-20
Cybb,6.17E-22,4.72E-20
Pvalb,6.25E-22,4.76E-20
Spib,6.29E-22,4.77E-20
Fezf2,6.50E-22,4.89E-20
Psca,6.49E-22,4.89E-20
Itln1,6.79E-22,5.08E-20
Saa2,7.18E-22,5.35E-20
Ccl1,7.67E-22,5.69E-20
Krt222,7.92E-22,5.85E-20
Dhh,8.74E-22,6.43E-20
Il2rg,9.06E-22,6.64E-20
Apoc2,9.37E-22,6.84E-20
Prss23,9.57E-22,6.95E-20
Ptprq,9.85E-22,7.10E-20
H2-M10.5,9.86E-22,7.10E-20
Htra1,1.03E-21,7.39E-20
RP23-428M4.4,1.08E-21,7.69E-20
Speer4c,1.13E-21,8.00E-20
Tnfrsf4,1.21E-21,8.55E-20
Tmprss2,1.30E-21,9.14E-20
Zp2,1.34E-21,9.38E-20
Cytl1,1.41E-21,9.90E-20
Hal,1.50E-21,1.05E-19
Tmprss11d,1.72E-21,1.19E-19
Hck,1.81E-21,1.25E-19
Oas1e,1.91E-21,1.32E-19
Dleu7,2.14E-21,1.46E-19
Tff2,2.17E-21,1.48E-19
Cd14,2.18E-21,1.49E-19
Car4,2.25E-21,1.52E-19
Fam19a2,2.33E-21,1.57E-19
Syt1,2.56E-21,1.72E-19
Npsr1,2.67E-21,1.79E-19
Gcg,2.85E-21,1.90E-19
Lgals2,2.85E-21,1.90E-19
Ly9,2.99E-21,1.98E-19
Aire,3.29E-21,2.17E-19
D730001G18Rik,3.30E-21,2.17E-19
Itgb7,3.31E-21,2.17E-19
Serpinb9b,3.44E-21,2.24E-19
Epyc,3.96E-21,2.57E-19
2610021A01Rik,4.05E-21,2.62E-19
Ccl19,4.51E-21,2.91E-19
Tnfaip6,4.67E-21,3.00E-19
Mat1a,5.03E-21,3.22E-19
Mmp7,5.35E-21,3.41E-19
Ptgds,5.46E-21,3.47E-19
Ppy,5.50E-21,3.48E-19
Mal,5.67E-21,3.57E-19
Lcn10,6.48E-21,4.07E-19
Bpifa5,6.52E-21,4.08E-19
Psg27,6.82E-21,4.25E-19
Gm13539,6.92E-21,4.30E-19
Sult1c2,7.01E-21,4.34E-19
Sbpl,7.86E-21,4.85E-19
Cdca2,7.99E-21,4.91E-19
Tmem173,8.66E-21,5.30E-19
Oas1d,8.87E-21,5.41E-19
Slc9a7,9.37E-21,5.70E-19
Pgc,1.01E-20,6.15E-19
Oasl1,1.10E-20,6.63E-19
Cyp11a1,1.10E-20,6.63E-19
Cd86,1.15E-20,6.88E-19
Insm1,1.17E-20,6.96E-19
Ncf4,1.23E-20,7.31E-19
Ttll9,1.25E-20,7.43E-19
Dmpk,1.37E-20,8.08E-19
Dcpp3,1.42E-20,8.37E-19
Asprv1,1.65E-20,9.66E-19
Tmem45b,1.73E-20,1.01E-18
Crhbp,1.78E-20,1.04E-18
Gad1,2.06E-20,1.20E-18
Nav1,2.08E-20,1.20E-18
Cnga2,2.59E-20,1.49E-18
Tgfbi,2.64E-20,1.52E-18
Gm13028,2.75E-20,1.57E-18
Slc41a3,2.79E-20,1.59E-18
Aldh1a7,2.92E-20,1.66E-18
Krt73,3.01E-20,1.71E-18
Sema3b,3.50E-20,1.98E-18
I830012O16Rik,3.57E-20,2.01E-18
Ifi47,3.79E-20,2.13E-18
Ms4a6d,4.03E-20,2.26E-18
Atf3,4.25E-20,2.37E-18
Calb1,4.45E-20,2.48E-18
Htra4,4.55E-20,2.52E-18
Clec12a,4.74E-20,2.62E-18
Ptpn22,5.62E-20,3.10E-18
Ear1,5.87E-20,3.22E-18
Tagln,6.27E-20,3.43E-18
Resp18,6.51E-20,3.55E-18
Cyp2g1,6.91E-20,3.76E-18
Ccl7,7.02E-20,3.81E-18
Zfp382,7.19E-20,3.89E-18
Scg5,7.46E-20,4.02E-18
Sec1,7.62E-20,4.10E-18
Gas2l3,8.34E-20,4.47E-18
Clec2i,8.85E-20,4.72E-18
Pglyrp2,9.86E-20,5.25E-18
Lcn11,1.01E-19,5.36E-18
Pifo,1.07E-19,5.67E-18
Pcp4l1,1.17E-19,6.15E-18
Gsta2,1.18E-19,6.18E-18
Timd2,1.21E-19,6.34E-18
Spata19,1.24E-19,6.47E-18
Mxra7,1.37E-19,7.13E-18
Adh6a,1.42E-19,7.38E-18
Ackr3,1.48E-19,7.64E-18
Mt4,1.56E-19,8.07E-18
Ttc6,1.61E-19,8.29E-18
S100a3,1.70E-19,8.69E-18
Upp1,1.70E-19,8.69E-18
2410124H12Rik,1.73E-19,8.81E-18
Prss1,1.76E-19,8.97E-18
Col6a1,1.79E-19,9.07E-18
Clec7a,1.87E-19,9.47E-18
Prss23os,1.90E-19,9.57E-18
Klf15,2.00E-19,1.01E-17
Kcne4,2.08E-19,1.04E-17
Madcam1,2.15E-19,1.07E-17
Lhfp,2.28E-19,1.13E-17
Ceacam18,2.50E-19,1.24E-17
Klk1,2.71E-19,1.34E-17
Swap70,2.70E-19,1.34E-17
Timp4,2.94E-19,1.45E-17
Pdlim4,3.09E-19,1.52E-17
Sel1l3,3.21E-19,1.57E-17
Layn,3.66E-19,1.79E-17
Soat2,3.67E-19,1.79E-17
3000002C10Rik,3.72E-19,1.81E-17
Tdo2,3.95E-19,1.91E-17
Actc1,4.25E-19,2.05E-17
C1s1,4.32E-19,2.08E-17
Crisp3,4.75E-19,2.28E-17
2410114N07Rik,4.99E-19,2.39E-17
Pld4,5.28E-19,2.52E-17
Klk1b26,5.38E-19,2.56E-17
Sln,5.60E-19,2.66E-17
Klk1b11,5.62E-19,2.66E-17
Il2ra,6.13E-19,2.89E-17
Slc24a4,6.76E-19,3.18E-17
Akr1c19,6.88E-19,3.23E-17
Itga8,7.06E-19,3.30E-17
Crabp1,7.05E-19,3.30E-17
Pfas,7.20E-19,3.35E-17
Slc51a,7.52E-19,3.49E-17
AW551984,7.63E-19,3.53E-17
Adap1,8.21E-19,3.79E-17
Sst,8.55E-19,3.94E-17
Igf1,9.51E-19,4.37E-17
Il12a,9.82E-19,4.50E-17
Stra6,1.00E-18,4.58E-17
Fabp1,1.05E-18,4.78E-17
C1qb,1.08E-18,4.91E-17
Calb2,1.16E-18,5.27E-17
Il1rl1,1.19E-18,5.37E-17
Lsp1,1.28E-18,5.79E-17
Ebi3,1.29E-18,5.80E-17
H2-M2,1.36E-18,6.11E-17
Clps,1.40E-18,6.27E-17
Ceacam10,1.45E-18,6.45E-17
Myl7,1.60E-18,7.10E-17
Gm14446,1.72E-18,7.65E-17
Il21r,1.75E-18,7.75E-17
Car1,1.77E-18,7.82E-17
9130409I23Rik,1.82E-18,8.03E-17
Gstm3,1.84E-18,8.09E-17
Moxd1,1.86E-18,8.15E-17
Serpina3j,1.87E-18,8.17E-17
Ms4a3,1.90E-18,8.27E-17
Prr9,1.92E-18,8.35E-17
9930012K11Rik,1.94E-18,8.42E-17
Gdf15,1.97E-18,8.55E-17
Krt4,2.39E-18,1.03E-16
Has2os,2.44E-18,1.05E-16
Apoa4,2.47E-18,1.06E-16
Akr1c12,2.60E-18,1.11E-16
Stbd1,2.76E-18,1.18E-16
Igf2bp1,2.77E-18,1.18E-16
Plekha4,2.96E-18,1.26E-16
Hmgcs2,3.32E-18,1.40E-16
Rln3,3.31E-18,1.40E-16
Cytip,3.38E-18,1.43E-16
Abca13,3.44E-18,1.45E-16
Adipoq,3.59E-18,1.51E-16
Rftn1,3.68E-18,1.54E-16
Slc6a14,3.81E-18,1.59E-16
Il5,4.02E-18,1.68E-16
Fmo3,4.11E-18,1.71E-16
Slco1a5,4.14E-18,1.72E-16
Fabp2,4.32E-18,1.79E-16
Cd244,5.11E-18,2.11E-16
Gm12250,5.17E-18,2.13E-16
Mstn,5.21E-18,2.14E-16
Cd70,5.21E-18,2.14E-16
Fmo5,5.30E-18,2.17E-16
Ptgs2,5.43E-18,2.22E-16
Skint7,5.49E-18,2.23E-16
Rassf4,5.49E-18,2.23E-16
Sp140,5.68E-18,2.30E-16
Mfap5,5.77E-18,2.33E-16
Spink8,6.41E-18,2.59E-16
Coro1a,6.45E-18,2.60E-16
Cyp1a1,7.51E-18,3.02E-16
Dync1i1,7.63E-18,3.06E-16
Pla2g2d,7.84E-18,3.13E-16
Ptpn6,8.03E-18,3.20E-16
Gsdmc3,8.15E-18,3.24E-16
Npy,8.29E-18,3.29E-16
Gm15056,8.59E-18,3.40E-16
Tmigd1,9.10E-18,3.60E-16
Serpinb6b,9.60E-18,3.78E-16
Aadac,1.06E-17,4.18E-16
Hp,1.10E-17,4.30E-16
Ikzf1,1.10E-17,4.31E-16
Xkr9,1.23E-17,4.80E-16
Gm14199,1.23E-17,4.80E-16
Egr2,1.25E-17,4.87E-16
Slc23a3,1.28E-17,4.96E-16
Limch1,1.29E-17,5.01E-16
Dcpp2,1.31E-17,5.07E-16
Colq,1.33E-17,5.14E-16
Pla2g3,1.39E-17,5.33E-16
H2-Q2,1.49E-17,5.70E-16
Cyp1a2,1.56E-17,5.96E-16
A830082K12Rik,1.58E-17,6.03E-16
Atl1,1.59E-17,6.07E-16
Hsd17b6,1.64E-17,6.23E-16
Col14a1,1.65E-17,6.25E-16
Grin2c,1.73E-17,6.56E-16
Gbp8,1.83E-17,6.89E-16
Grap,1.94E-17,7.30E-16
Sspo,2.00E-17,7.51E-16
Dkk3,2.09E-17,7.85E-16
Insc,2.16E-17,8.08E-16
Cxcl2,2.36E-17,8.83E-16
Golga7b,2.48E-17,9.25E-16
Phf11d,2.49E-17,9.26E-16
Serpinb12,2.63E-17,9.76E-16
Igf2bp2,2.65E-17,9.83E-16
Pah,2.77E-17,1.02E-15
Klhl14,2.77E-17,1.02E-15
Slc34a2,2.82E-17,1.04E-15
Itgb8,2.82E-17,1.04E-15
Slc4a11,2.91E-17,1.07E-15
Serpina9,2.94E-17,1.07E-15
Kbtbd13,3.05E-17,1.11E-15
Skint3,3.21E-17,1.17E-15
Th,3.26E-17,1.18E-15
Klk1b22,3.32E-17,1.20E-15
Vnn1,3.35E-17,1.21E-15
Atp4a,3.55E-17,1.28E-15
Ifit2,3.62E-17,1.30E-15
Serpina11,3.76E-17,1.35E-15
Sgcg,3.88E-17,1.39E-15
Npdc1,3.95E-17,1.41E-15
Phgr1,4.06E-17,1.45E-15
Lgals7,4.06E-17,1.45E-15
Ttc36,4.16E-17,1.48E-15
Ces2c,4.42E-17,1.57E-15
Klrg1,4.46E-17,1.58E-15
H2-Q5,4.66E-17,1.65E-15
Trim47,4.68E-17,1.65E-15
Neu2,4.70E-17,1.65E-15
Mfap2,4.95E-17,1.74E-15
Mkrn2os,5.09E-17,1.78E-15
Bmp3,5.25E-17,1.84E-15
4930579C12Rik,5.29E-17,1.85E-15
Cd80,5.50E-17,1.92E-15
Obp2a,5.73E-17,1.99E-15
Tex11,5.73E-17,1.99E-15
Sphk1,6.18E-17,2.14E-15
Sftpa1,6.20E-17,2.14E-15
Sdr16c6,6.24E-17,2.15E-15
P2rx4,6.33E-17,2.18E-15
Unc93a,6.35E-17,2.18E-15
H2-M3,6.65E-17,2.28E-15
Sgce,6.79E-17,2.32E-15
Synpr,6.81E-17,2.32E-15
Ccr10,6.82E-17,2.32E-15
Blk,6.92E-17,2.36E-15
Fgg,7.03E-17,2.38E-15
Cxcl1,7.11E-17,2.41E-15
Icosl,7.12E-17,2.41E-15
Gm13538,7.13E-17,2.41E-15
Gm17767,7.26E-17,2.44E-15
Apoc3,7.46E-17,2.51E-15
Nupr1,7.58E-17,2.54E-15
Cpm,7.71E-17,2.58E-15
Ehf,8.63E-17,2.88E-15
Isg20,9.37E-17,3.12E-15
Krt71,9.39E-17,3.13E-15
Gpr87,9.44E-17,3.14E-15
Gmnc,9.46E-17,3.14E-15
Ccl19-ps1,1.08E-16,3.59E-15
Gsdma,1.18E-16,3.88E-15
Dusp4,1.18E-16,3.89E-15
Acta1,1.19E-16,3.91E-15
Rap1gap,1.21E-16,3.98E-15
H2-Q1,1.22E-16,4.00E-15
Gpr45,1.28E-16,4.20E-15
Ngp,1.51E-16,4.94E-15
Peg3,1.55E-16,5.04E-15
Foxs1,1.60E-16,5.19E-15
Pinlyp,1.66E-16,5.38E-15
Napsa,1.67E-16,5.41E-15
Socs5,1.68E-16,5.44E-15
Kndc1,1.72E-16,5.55E-15
Gbp4,1.85E-16,5.97E-15
Myl1,1.91E-16,6.13E-15
Igkv6-29,1.98E-16,6.35E-15
Cthrc1,2.00E-16,6.41E-15
Atp2a3,2.03E-16,6.48E-15
Ercc6l,2.05E-16,6.54E-15
Chrna1,2.19E-16,6.97E-15
Gpr50,2.23E-16,7.10E-15
Sbp,2.30E-16,7.31E-15
Frem2,2.33E-16,7.37E-15
Hpx,2.33E-16,7.38E-15
Ctrb1,2.36E-16,7.44E-15
Gm13561,2.37E-16,7.46E-15
Slc4a8,2.40E-16,7.56E-15
Fxyd1,2.45E-16,7.70E-15
Cym,2.57E-16,8.06E-15
Msx3,2.59E-16,8.09E-15
Nxpe3,2.61E-16,8.15E-15
A430033K04Rik,2.63E-16,8.19E-15
Ctnna2,2.65E-16,8.25E-15
Mnda,2.70E-16,8.39E-15
Slc35d2,2.75E-16,8.53E-15
Anxa10,2.76E-16,8.55E-15
Bbox1,2.77E-16,8.56E-15
Adam19,2.86E-16,8.83E-15
Ces1f,2.91E-16,8.95E-15
Slurp1,3.02E-16,9.28E-15
Gpr176,3.05E-16,9.35E-15
Zfp354c,3.14E-16,9.60E-15
Sncg,3.19E-16,9.74E-15
Slc6a19,3.65E-16,1.11E-14
Wasf1,3.67E-16,1.12E-14
Bst2,3.70E-16,1.13E-14
Klk6,3.85E-16,1.17E-14
Il1rn,4.59E-16,1.39E-14
Tnfrsf8,4.85E-16,1.47E-14
Ugt2b34,5.03E-16,1.52E-14
Tac1,5.10E-16,1.54E-14
Msrb3,5.11E-16,1.54E-14
Raet1e,5.13E-16,1.54E-14
Ppbp,5.21E-16,1.56E-14
Slc6a4,5.34E-16,1.60E-14
Naip2,5.44E-16,1.62E-14
Fam46c,5.62E-16,1.67E-14
Psg22,5.62E-16,1.67E-14
Hsd11b1,5.86E-16,1.74E-14
Crct1,5.96E-16,1.77E-14
Gpr56,6.36E-16,1.88E-14
Apod,6.42E-16,1.90E-14
Sdr9c7,6.54E-16,1.93E-14
Gsdma2,6.62E-16,1.95E-14
5330417C22Rik,6.72E-16,1.98E-14
Lrp11,6.75E-16,1.98E-14
Pla2g4d,6.83E-16,2.00E-14
Alox15,7.06E-16,2.06E-14
1810065E05Rik,7.36E-16,2.15E-14
Lum,7.44E-16,2.17E-14
Gipc2,7.83E-16,2.28E-14
Cdh26,8.00E-16,2.32E-14
Gm11546,8.26E-16,2.39E-14
Gm94,8.31E-16,2.41E-14
Kcnh6,8.59E-16,2.48E-14
Sult1d1,8.61E-16,2.49E-14
Tnip3,8.68E-16,2.50E-14
Ube2ql1,8.76E-16,2.52E-14
C1qa,8.81E-16,2.53E-14
Pkib,8.98E-16,2.57E-14
Fabp9,9.25E-16,2.65E-14
Gjb2,9.30E-16,2.66E-14
Gata3,9.87E-16,2.82E-14
Ccl17,1.00E-15,2.85E-14
Cpne4,1.02E-15,2.91E-14
Gtf2ird2,1.05E-15,2.98E-14
Ror2,1.06E-15,3.00E-14
Gm6999,1.06E-15,3.00E-14
Ccdc184,1.11E-15,3.15E-14
Stk33,1.17E-15,3.31E-14
Samsn1,1.33E-15,3.76E-14
4632428N05Rik,1.36E-15,3.82E-14
Il15ra,1.36E-15,3.82E-14
Gpa33,1.40E-15,3.92E-14
Reg3a,1.49E-15,4.17E-14
Tnf,1.54E-15,4.31E-14
AI427809,1.58E-15,4.40E-14
Pigz,1.64E-15,4.57E-14
Aldh1l2,1.69E-15,4.69E-14
1810006J02Rik,1.76E-15,4.87E-14
Gcm2,1.78E-15,4.93E-14
Nsg2,1.79E-15,4.95E-14
Cxcl5,1.92E-15,5.29E-14
Inpp5b,1.93E-15,5.31E-14
E130308A19Rik,1.95E-15,5.37E-14
Csn1s2a,2.06E-15,5.67E-14
Sh3gl3,2.10E-15,5.77E-14
Foxa3,2.13E-15,5.84E-14
Rhcg,2.25E-15,6.13E-14
Epsti1,2.25E-15,6.13E-14
Asb17,2.41E-15,6.56E-14
Srgap2,2.55E-15,6.94E-14
Gpx2,2.55E-15,6.94E-14
Slc6a3,2.69E-15,7.31E-14
Btnl2,2.87E-15,7.76E-14
Plekhb1,3.03E-15,8.19E-14
Cryba4,3.24E-15,8.73E-14
Sp110,3.24E-15,8.74E-14
Pdzk1ip1,3.37E-15,9.07E-14
Gm12214,3.42E-15,9.18E-14
Zc3hav1,3.55E-15,9.54E-14
Lrat,3.71E-15,9.94E-14
Rgs13,3.75E-15,1.00E-13
Chrna5,3.75E-15,1.00E-13
Agt,3.97E-15,1.06E-13
Gal3st2,4.25E-15,1.13E-13
Rgl1,4.25E-15,1.13E-13
1700092C10Rik,4.29E-15,1.14E-13
Fam83b,4.31E-15,1.14E-13
Krt13,4.43E-15,1.17E-13
Bglap3,4.45E-15,1.18E-13
Ces1h,4.76E-15,1.26E-13
Exo1,4.87E-15,1.28E-13
Cib3,5.06E-15,1.33E-13
Lgi2,5.10E-15,1.34E-13
Gfra3,5.28E-15,1.38E-13
Gjb6,5.30E-15,1.39E-13
Dhx58,5.51E-15,1.44E-13
Rnf186,6.01E-15,1.57E-13
Il22,6.53E-15,1.70E-13
Qpct,6.54E-15,1.70E-13
Bdh1,6.56E-15,1.70E-13
Spic,6.79E-15,1.76E-13
Scgb1a1,7.12E-15,1.84E-13
Slfn9,7.51E-15,1.94E-13
Gm648,7.60E-15,1.96E-13
Gm16201,8.20E-15,2.11E-13
Tdgf1,8.19E-15,2.11E-13
Mogat2,8.32E-15,2.14E-13
Rgs17,8.62E-15,2.21E-13
Dnaic2,8.70E-15,2.23E-13
Mtcl1,8.83E-15,2.26E-13
2300002M23Rik,8.92E-15,2.28E-13
Tgfbr3,9.00E-15,2.29E-13
Fam183b,9.04E-15,2.30E-13
Rrad,1.05E-14,2.67E-13
Spp2,1.07E-14,2.73E-13
H2-Q7,1.10E-14,2.80E-13
Flywch1,1.11E-14,2.81E-13
Spink4,1.18E-14,2.98E-13
Pf4,1.18E-14,2.99E-13
Nolc1,1.19E-14,3.00E-13
Dusp5,1.22E-14,3.07E-13
Krt20,1.26E-14,3.16E-13
Efhc2,1.27E-14,3.19E-13
Hlcs,1.34E-14,3.37E-13
Sipa1l2,1.39E-14,3.49E-13
Tmprss15,1.41E-14,3.53E-13
Umodl1,1.43E-14,3.57E-13
Il9,1.45E-14,3.61E-13
Nkx2-6,1.54E-14,3.83E-13
Fes,1.56E-14,3.87E-13
Cyp3a13,1.57E-14,3.89E-13
Csrnp1,1.63E-14,4.04E-13
Ptges,1.68E-14,4.16E-13
Cldn10,1.71E-14,4.21E-13
Sardh,1.72E-14,4.23E-13
Mrc1,1.78E-14,4.38E-13
Mpo,1.81E-14,4.44E-13
Klk1b9,1.82E-14,4.46E-13
