Gene,pval,qval
Crebbp,0.000177819,0.00068901
Gm17491,0.000178147,0.000690123
Rgma,0.000178543,0.000691401
Klf8,0.000178558,0.000691401
Serpine1,0.000178785,0.000692126
Gm17066,0.000180407,0.000698248
Lef1,0.000180486,0.000698395
Slc9b1,0.000181618,0.00070246
Ldb3,0.000181618,0.00070246
Guca1a,0.00018219,0.000704511
Haus8,0.000182382,0.000705095
Zfp827,0.000183808,0.00071045
Ccnl1,0.000184388,0.000712531
Rptn,0.000184765,0.000713826
Gm4858,0.00018556,0.000716734
1810055G02Rik,0.000185764,0.00071736
Vcp-rs,0.000186103,0.00071851
Heatr3,0.000186676,0.00072056
Pxylp1,0.000186853,0.000721078
Sept5,0.000187475,0.000723318
Cbl,0.000187638,0.000723784
Gm2663,0.000188078,0.00072518
Rtkn2,0.000188085,0.00072518
Gpr146,0.000188172,0.000725354
Gm12184,0.000188419,0.000726144
Cblb,0.000188511,0.000726335
Vwf,0.000189149,0.000728629
Nlrx1,0.000189509,0.000729849
Lyst,0.000190453,0.000733321
Ap4m1,0.000192221,0.000739955
Prl8a2,0.000192262,0.000739955
Taf4b,0.00019266,0.00074132
Sgsh,0.000193596,0.000744755
Gadd45a,0.000193712,0.000745034
Slc6a11,0.000194134,0.000746487
Gpc3,0.000194614,0.000748164
Ap3m2,0.000194926,0.000749198
Ptpre,0.000195658,0.000751843
Fbxl8,0.000196237,0.0007539
Arsg,0.000197211,0.000757471
Galnt18,0.000197885,0.000759888
Smco4,0.000198246,0.000761107
Dll4,0.000198969,0.00076371
Fcgrt,0.000199945,0.000767282
5730419F03Rik,0.000200112,0.000767668
5330426P16Rik,0.000200135,0.000767668
Erbb3,0.000201818,0.000773951
Gm3531,0.000202949,0.000778116
Dnajc13,0.000203514,0.000780108
Neurod4,0.000203569,0.000780144
Avil,0.000203714,0.000780526
Gm27007,0.000204738,0.000784272
Gm11588,0.000205309,0.000786282
Cep83os,0.000205764,0.000787851
Hoxb9,0.00020691,0.000792062
Tmtc1,0.000207043,0.000792394
Scn7a,0.000207203,0.000792526
Fbxl13,0.000207216,0.000792526
Serpinb9d,0.00020715,0.000792526
Hist1h2bg,0.000207346,0.000792845
Ube2l6,0.000207731,0.00079382
Hivep3,0.00020774,0.00079382
Gcn1l1,0.000207651,0.00079382
Rusc1,0.000207921,0.000794335
Epb4.1l4b,0.00020821,0.000795262
Gemin5,0.000209058,0.000798323
Cc2d1b,0.000209619,0.000800286
Slc17a8,0.000210449,0.000803279
Rfng,0.00021066,0.000803903
Polh,0.00021094,0.000804794
Gm11451,0.000211009,0.000804878
Il17ra,0.000211128,0.000805151
Scgb3a2,0.000211198,0.000805239
Cyp1b1,0.000211328,0.000805557
5330413P13Rik,0.000211577,0.000806145
Zfp287,0.000211569,0.000806145
Whsc1,0.000211795,0.000806798
Zfp874b,0.000212143,0.000807946
Vip,0.000212751,0.000810079
Zfp939,0.000213974,0.000814554
1700029N11Rik,0.000214873,0.000817797
Gramd1a,0.000214958,0.000817936
BC005561,0.000215138,0.000818442
Bbs1,0.000215199,0.00081849
Psg18,0.000215918,0.000821044
Jam2,0.000216333,0.000822441
Pou3f1,0.000218015,0.000828651
Suv39h1,0.000218882,0.000831761
Nbeal1,0.000219259,0.000833011
Pmp22,0.000220202,0.000836408
Primpol,0.000220592,0.000837703
Trps1,0.000220765,0.000838173
Svopl,0.000220946,0.000838515
Cwf19l2,0.000220953,0.000838515
Stxbp4,0.000221228,0.000839375
BC002163,0.000221821,0.000841438
Vipr2,0.000224324,0.000850745
Bbs12,0.000224647,0.000851781
Tmem125,0.000226702,0.000859381
